,date,vodka,State,spider solitaire,participants_x,inflation_x,participants_y,blood drive,ebay,jobs,brownie recipe,xbox,linkedin,haircut,calvin klein,candy crush,omegle,slutload,inflation_y,harvard,jobs near me,mens underwear,pornhub,lottery,google flights,unemployment,resume template
110,2012-02-01,16.0,AK,25.0,25.0,50.0,37.0,0.0,71.0,79.0,64.0,40.0,38.0,18,41.0,4.0,68.0,23.0,28.0,36.0,0.0,13,44,47.0,0,61,50.0
111,2012-03-01,34.0,AK,59.0,0.0,49.0,0.0,0.0,64.0,71.0,87.0,31.0,28.0,22,17.0,0.0,30.0,37.0,45.0,50.0,0.0,0,66,100.0,3,44,0.0
112,2012-04-01,29.0,AK,11.0,0.0,46.0,0.0,0.0,67.0,69.0,20.0,32.0,43.0,29,38.0,0.0,35.0,42.0,52.0,82.0,0.0,0,54,31.0,0,53,46.0
113,2012-05-01,43.0,AK,13.0,0.0,13.0,38.0,54.0,62.0,82.0,45.0,30.0,40.0,37,0.0,0.0,61.0,83.0,29.0,47.0,0.0,0,56,40.0,8,43,52.0
114,2012-06-01,12.0,AK,43.0,0.0,44.0,0.0,0.0,73.0,85.0,51.0,54.0,96.0,26,24.0,0.0,39.0,14.0,49.0,21.0,0.0,0,70,49.0,5,43,29.0
115,2012-07-01,76.0,AK,27.0,0.0,28.0,82.0,0.0,90.0,75.0,48.0,31.0,39.0,30,0.0,0.0,42.0,38.0,31.0,40.0,12.0,0,62,49.0,0,45,28.0
116,2012-08-01,27.0,AK,13.0,0.0,26.0,0.0,0.0,81.0,76.0,0.0,50.0,32.0,47,0.0,0.0,48.0,12.0,14.0,28.0,0.0,14,59,35.0,4,31,0.0
117,2012-09-01,33.0,AK,13.0,0.0,13.0,39.0,0.0,83.0,75.0,0.0,54.0,49.0,14,22.0,0.0,36.0,24.0,30.0,38.0,0.0,0,55,22.0,0,61,27.0
118,2012-10-01,36.0,AK,12.0,0.0,36.0,0.0,0.0,96.0,75.0,63.0,46.0,22.0,40,20.0,0.0,57.0,22.0,13.0,0.0,0.0,13,61,28.0,0,61,72.0
119,2012-11-01,42.0,AK,12.0,0.0,25.0,37.0,0.0,91.0,66.0,43.0,75.0,35.0,9,20.0,0.0,67.0,34.0,28.0,27.0,0.0,0,56,52.0,4,60,50.0
120,2012-12-01,57.0,AK,13.0,0.0,40.0,0.0,0.0,94.0,58.0,0.0,62.0,42.0,34,44.0,0.0,83.0,38.0,60.0,19.0,0.0,0,61,31.0,13,38,0.0
121,2013-01-01,33.0,AK,38.0,0.0,26.0,0.0,54.0,93.0,77.0,23.0,43.0,52.0,28,0.0,0.0,39.0,36.0,29.0,9.0,0.0,0,46,24.0,0,48,0.0
122,2013-02-01,31.0,AK,37.0,25.0,62.0,0.0,52.0,87.0,80.0,44.0,43.0,31.0,36,62.0,7.0,97.0,12.0,83.0,63.0,0.0,0,47,16.0,8,34,100.0
123,2013-03-01,43.0,AK,34.0,0.0,34.0,100.0,0.0,88.0,86.0,98.0,41.0,46.0,36,74.0,13.0,76.0,21.0,38.0,48.0,0.0,12,47,23.0,3,50,45.0
124,2013-04-01,42.0,AK,22.0,0.0,22.0,33.0,0.0,83.0,80.0,19.0,46.0,45.0,32,36.0,26.0,53.0,0.0,25.0,72.0,0.0,24,56,16.0,3,53,22.0
125,2013-05-01,34.0,AK,0.0,0.0,23.0,0.0,0.0,91.0,73.0,100.0,61.0,72.0,25,38.0,50.0,66.0,32.0,38.0,33.0,0.0,0,59,40.0,0,47,46.0
126,2013-06-01,17.0,AK,39.0,0.0,13.0,0.0,0.0,87.0,81.0,0.0,62.0,65.0,52,0.0,69.0,70.0,24.0,44.0,56.0,0.0,14,63,64.0,4,37,52.0
127,2013-07-01,61.0,AK,36.0,12.0,12.0,36.0,0.0,90.0,89.0,64.0,43.0,80.0,26,0.0,53.0,78.0,11.0,54.0,26.0,0.0,0,63,48.0,4,36,0.0
128,2013-08-01,39.0,AK,34.0,0.0,0.0,0.0,0.0,82.0,80.0,20.0,48.0,53.0,21,0.0,73.0,58.0,42.0,0.0,41.0,0.0,0,72,46.0,7,34,23.0
129,2013-09-01,29.0,AK,22.0,0.0,34.0,0.0,47.0,82.0,69.0,40.0,51.0,67.0,28,19.0,100.0,73.0,42.0,0.0,8.0,0.0,12,59,33.0,7,45,23.0
130,2013-10-01,32.0,AK,54.0,11.0,11.0,0.0,0.0,82.0,73.0,38.0,54.0,71.0,36,0.0,54.0,44.0,40.0,24.0,39.0,0.0,0,47,36.0,7,69,66.0
131,2013-11-01,14.0,AK,11.0,0.0,46.0,0.0,47.0,84.0,62.0,59.0,100.0,46.0,49,56.0,76.0,58.0,31.0,25.0,33.0,0.0,12,55,31.0,4,42,0.0
