date,cornell,State
2018-04-08,3,CA
2018-04-15,3,CA
2018-04-22,3,CA
2018-04-29,3,CA
2018-05-06,4,CA
2018-05-13,3,CA
2018-05-20,4,CA
2018-05-27,3,CA
2018-06-03,2,CA
2018-06-10,3,CA
2018-06-17,3,CA
2018-06-24,2,CA
2018-07-01,2,CA
2018-07-08,3,CA
2018-07-15,3,CA
2018-07-22,3,CA
2018-07-29,3,CA
2018-08-05,3,CA
2018-08-12,4,CA
2018-08-19,3,CA
2018-08-26,4,CA
2018-09-02,3,CA
2018-09-09,3,CA
2018-09-16,3,CA
2018-09-23,3,CA
2018-09-30,2,CA
2018-10-07,3,CA
2018-10-14,4,CA
2018-10-21,2,CA
2018-10-28,3,CA
2018-11-04,3,CA
2018-11-11,4,CA
2018-11-18,3,CA
2018-11-25,3,CA
2018-12-02,3,CA
2018-12-09,3,CA
2018-12-16,3,CA
2018-12-23,3,CA
2018-12-30,3,CA
2015-01-04,2,CO
2015-01-11,2,CO
2015-01-18,2,CO
2015-01-25,2,CO
2015-02-01,2,CO
2015-02-08,2,CO
2015-02-15,2,CO
2015-02-22,3,CO
2015-03-01,6,CO
2015-03-08,3,CO
2015-03-15,4,CO
2015-03-22,3,CO
2015-03-29,4,CO
2015-04-05,2,CO
2015-04-12,3,CO
2015-04-19,3,CO
2015-04-26,3,CO
2015-05-03,5,CO
2015-05-10,5,CO
2015-05-17,2,CO
2015-05-24,2,CO
2015-05-31,4,CO
2015-06-07,3,CO
2015-06-14,3,CO
2015-06-21,2,CO
2015-06-28,2,CO
2015-07-05,2,CO
2015-07-12,5,CO
2015-07-19,1,CO
2015-07-26,1,CO
2015-08-02,2,CO
2015-08-09,3,CO
2015-08-16,4,CO
2015-08-23,1,CO
2015-08-30,4,CO
2015-09-06,3,CO
2015-09-13,1,CO
2015-09-20,5,CO
2015-09-27,3,CO
2015-10-04,5,CO
2015-10-11,2,CO
2015-10-18,3,CO
2015-10-25,2,CO
2015-11-01,4,CO
2015-11-08,3,CO
2015-11-15,3,CO
2015-11-22,4,CO
2015-11-29,2,CO
2015-12-06,2,CO
2015-12-13,3,CO
2015-12-20,1,CO
2015-12-27,2,CO
2016-01-03,4,CO
2016-01-10,2,CO
2016-01-17,2,CO
2016-01-24,4,CO
2016-01-31,3,CO
2016-02-07,1,CO
2016-02-14,2,CO
2016-02-21,2,CO
2016-02-28,2,CO
2016-03-06,3,CO
2016-03-13,2,CO
2016-03-20,2,CO
2016-03-27,2,CO
2016-04-03,1,CO
2016-04-10,2,CO
2016-04-17,2,CO
2016-04-24,3,CO
2016-05-01,3,CO
2016-05-08,3,CO
2016-05-15,3,CO
2016-05-22,3,CO
2016-05-29,2,CO
2016-06-05,3,CO
2016-06-12,2,CO
2016-06-19,2,CO
2016-06-26,3,CO
2016-07-03,2,CO
2016-07-10,3,CO
2016-07-17,2,CO
2016-07-24,2,CO
2016-07-31,2,CO
2016-08-07,2,CO
2016-08-14,2,CO
2016-08-21,3,CO
2016-08-28,3,CO
2016-09-04,3,CO
2016-09-11,2,CO
2016-09-18,2,CO
2016-09-25,2,CO
2016-10-02,2,CO
2016-10-09,3,CO
2016-10-16,3,CO
2016-10-23,4,CO
2016-10-30,2,CO
2016-11-06,2,CO
2016-11-13,3,CO
2016-11-20,3,CO
2016-11-27,2,CO
2016-12-04,5,CO
