date,mens underwear,State
2016-03-13,25,CA
2016-03-20,40,CA
2016-03-27,22,CA
2016-04-03,30,CA
2016-04-10,34,CA
2016-04-17,29,CA
2016-04-24,34,CA
2016-05-01,34,CA
2016-05-08,35,CA
2016-05-15,30,CA
2016-05-22,53,CA
2016-05-29,31,CA
2016-06-05,40,CA
2016-06-12,45,CA
2016-06-19,31,CA
2016-06-26,41,CA
2016-07-03,29,CA
2016-07-10,23,CA
2016-07-17,51,CA
2016-07-24,41,CA
2016-07-31,38,CA
2016-08-07,44,CA
2016-08-14,19,CA
2016-08-21,28,CA
2016-08-28,40,CA
2016-09-04,63,CA
2016-09-11,39,CA
2016-09-18,30,CA
2016-09-25,35,CA
2016-10-02,47,CA
2016-10-09,17,CA
2016-10-16,34,CA
2016-10-23,17,CA
2016-10-30,47,CA
2016-11-06,32,CA
2016-11-13,55,CA
2016-11-20,66,CA
2016-11-27,64,CA
2016-12-04,55,CA
2016-12-11,57,CA
2016-12-18,48,CA
2016-12-25,51,CA
2017-01-01,60,CA
2017-01-08,56,CA
2017-01-15,36,CA
2017-01-22,36,CA
2017-01-29,43,CA
2017-02-05,54,CA
2017-02-12,38,CA
2017-02-19,31,CA
2017-02-26,37,CA
2017-03-05,31,CA
2017-03-12,50,CA
2017-03-19,27,CA
2017-03-26,44,CA
2017-04-02,32,CA
2017-04-09,24,CA
2017-04-16,44,CA
2017-04-23,51,CA
2017-04-30,55,CA
2017-05-07,36,CA
2017-05-14,54,CA
2017-05-21,68,CA
2017-05-28,48,CA
2017-06-04,59,CA
2017-06-11,48,CA
2017-06-18,71,CA
2017-06-25,53,CA
2017-07-02,46,CA
2017-07-09,52,CA
2017-07-16,52,CA
2017-07-23,39,CA
2017-07-30,46,CA
2017-08-06,50,CA
2017-08-13,63,CA
2017-08-20,41,CA
2017-08-27,44,CA
2017-09-03,39,CA
2017-09-10,16,CA
2017-09-17,51,CA
2017-09-24,30,CA
2017-10-01,35,CA
2017-10-08,34,CA
2017-10-15,39,CA
2017-10-22,43,CA
2017-10-29,27,CA
2017-11-05,58,CA
2017-11-12,31,CA
2017-11-19,81,CA
2017-11-26,73,CA
2017-12-03,66,CA
2017-12-10,71,CA
2017-12-17,43,CA
2017-12-24,52,CA
2017-12-31,30,CA
2018-01-07,43,CA
2018-01-14,59,CA
2018-01-21,31,CA
2018-01-28,35,CA
2018-02-04,50,CA
2018-02-11,40,CA
2018-02-18,47,CA
2018-02-25,60,CA
2018-03-04,31,CA
2018-03-11,26,CA
2018-03-18,54,CA
2018-03-25,49,CA
2018-04-01,16,CA
2018-04-08,55,CA
2018-04-15,27,CA
2018-04-22,30,CA
2018-04-29,42,CA
2018-05-06,46,CA
2018-05-13,38,CA
2018-05-20,35,CA
2018-05-27,16,CA
2018-06-03,42,CA
2018-06-10,59,CA
2018-06-17,40,CA
2018-06-24,20,CA
2018-07-01,17,CA
2018-07-08,27,CA
2018-07-15,28,CA
2018-07-22,61,CA
2018-07-29,36,CA
2018-08-05,64,CA
2018-08-12,45,CA
2018-08-19,28,CA
2018-08-26,20,CA
2018-09-02,56,CA
2018-09-09,23,CA
2018-09-16,31,CA
2018-09-23,31,CA
2018-09-30,39,CA
2018-10-07,43,CA
2018-10-14,39,CA
2018-10-21,23,CA
2018-10-28,32,CA
2018-11-04,63,CA
2018-11-11,39,CA
2018-11-18,100,CA
2018-11-25,30,CA
2018-12-02,35,CA
2018-12-09,78,CA
2018-12-16,72,CA
2018-12-23,23,CA
2018-12-30,39,CA
2015-01-04,22,CO
2015-01-11,36,CO
2015-01-18,46,CO
2015-01-25,45,CO
2015-02-01,65,CO
2015-02-08,88,CO
2015-02-15,68,CO
2015-02-22,23,CO
2015-03-01,71,CO
2015-03-08,23,CO
2015-03-15,72,CO
2015-03-22,58,CO
2015-03-29,50,CO
2015-04-05,0,CO
2015-04-12,0,CO
2015-04-19,37,CO
2015-04-26,25,CO
2015-05-03,25,CO
