date,ebay,State
2016-01-17,76,CA
2016-01-24,78,CA
2016-01-31,78,CA
2016-02-07,73,CA
2016-02-14,80,CA
2016-02-21,81,CA
2016-02-28,76,CA
2016-03-06,75,CA
2016-03-13,76,CA
2016-03-20,76,CA
2016-03-27,76,CA
2016-04-03,75,CA
2016-04-10,76,CA
2016-04-17,75,CA
2016-04-24,71,CA
2016-05-01,73,CA
2016-05-08,76,CA
2016-05-15,75,CA
2016-05-22,78,CA
2016-05-29,77,CA
2016-06-05,75,CA
2016-06-12,77,CA
2016-06-19,74,CA
2016-06-26,73,CA
2016-07-03,73,CA
2016-07-10,76,CA
2016-07-17,77,CA
2016-07-24,76,CA
2016-07-31,76,CA
2016-08-07,76,CA
2016-08-14,73,CA
2016-08-21,75,CA
2016-08-28,71,CA
2016-09-04,75,CA
2016-09-11,71,CA
2016-09-18,73,CA
2016-09-25,67,CA
2016-10-02,69,CA
2016-10-09,68,CA
2016-10-16,69,CA
2016-10-23,64,CA
2016-10-30,64,CA
2016-11-06,58,CA
2016-11-13,69,CA
2016-11-20,74,CA
2016-11-27,79,CA
2016-12-04,77,CA
2016-12-11,79,CA
2016-12-18,74,CA
2016-12-25,72,CA
2017-01-01,69,CA
2017-01-08,67,CA
2017-01-15,69,CA
2017-01-22,70,CA
2017-01-29,69,CA
2017-02-05,67,CA
2017-02-12,62,CA
2017-02-19,69,CA
2017-02-26,70,CA
2017-03-05,69,CA
2017-03-12,65,CA
2017-03-19,70,CA
2017-03-26,74,CA
2017-04-02,69,CA
2017-04-09,69,CA
2017-04-16,68,CA
2017-04-23,69,CA
2017-04-30,70,CA
2017-05-07,68,CA
2017-05-14,64,CA
2017-05-21,68,CA
2017-05-28,69,CA
2017-06-04,65,CA
2017-06-11,67,CA
2017-06-18,64,CA
2017-06-25,65,CA
2017-07-02,69,CA
2017-07-09,68,CA
2017-07-16,68,CA
2017-07-23,71,CA
2017-07-30,71,CA
2017-08-06,69,CA
2017-08-13,68,CA
2017-08-20,64,CA
2017-08-27,65,CA
2017-09-03,65,CA
2017-09-10,61,CA
2017-09-17,63,CA
2017-09-24,65,CA
2017-10-01,62,CA
2017-10-08,62,CA
2017-10-15,64,CA
2017-10-22,61,CA
2017-10-29,60,CA
2017-11-05,66,CA
2017-11-12,66,CA
2017-11-19,71,CA
2017-11-26,70,CA
2017-12-03,69,CA
2017-12-10,68,CA
2017-12-17,63,CA
2017-12-24,67,CA
2017-12-31,61,CA
2018-01-07,59,CA
2018-01-14,62,CA
2018-01-21,61,CA
2018-01-28,59,CA
2018-02-04,59,CA
2018-02-11,59,CA
2018-02-18,60,CA
2018-02-25,64,CA
2018-03-04,62,CA
2018-03-11,59,CA
2018-03-18,61,CA
2018-03-25,60,CA
2018-04-01,60,CA
2018-04-08,56,CA
2018-04-15,59,CA
2018-04-22,57,CA
2018-04-29,54,CA
2018-05-06,57,CA
2018-05-13,53,CA
2018-05-20,55,CA
2018-05-27,56,CA
2018-06-03,56,CA
2018-06-10,55,CA
2018-06-17,57,CA
2018-06-24,56,CA
2018-07-01,58,CA
2018-07-08,57,CA
2018-07-15,58,CA
2018-07-22,56,CA
2018-07-29,58,CA
2018-08-05,51,CA
2018-08-12,51,CA
2018-08-19,53,CA
2018-08-26,51,CA
2018-09-02,53,CA
2018-09-09,50,CA
2018-09-16,50,CA
2018-09-23,51,CA
2018-09-30,49,CA
2018-10-07,49,CA
2018-10-14,52,CA
2018-10-21,47,CA
2018-10-28,50,CA
2018-11-04,47,CA
2018-11-11,50,CA
2018-11-18,57,CA
2018-11-25,56,CA
2018-12-02,53,CA
2018-12-09,56,CA
2018-12-16,50,CA
2018-12-23,49,CA
2018-12-30,49,CA
2015-01-04,90,CO
2015-01-11,83,CO
2015-01-18,95,CO
2015-01-25,96,CO
2015-02-01,88,CO
2015-02-08,85,CO
2015-02-15,97,CO
2015-02-22,83,CO
2015-03-01,99,CO
2015-03-08,94,CO
2015-03-15,94,CO
2015-03-22,83,CO
2015-03-29,91,CO
2015-04-05,90,CO
2015-04-12,85,CO
2015-04-19,95,CO
2015-04-26,86,CO
2015-05-03,84,CO
2015-05-10,81,CO
2015-05-17,83,CO
2015-05-24,77,CO
2015-05-31,87,CO
2015-06-07,85,CO
2015-06-14,93,CO
2015-06-21,97,CO
2015-06-28,95,CO
2015-07-05,90,CO
2015-07-12,92,CO
2015-07-19,81,CO
2015-07-26,87,CO
2015-08-02,86,CO
2015-08-09,81,CO
2015-08-16,89,CO
2015-08-23,92,CO
2015-08-30,83,CO
2015-09-06,83,CO
2015-09-13,76,CO
2015-09-20,84,CO
2015-09-27,80,CO
2015-10-04,86,CO
2015-10-11,86,CO
2015-10-18,85,CO
2015-10-25,80,CO
2015-11-01,81,CO
2015-11-08,73,CO
2015-11-15,88,CO
2015-11-22,100,CO
2015-11-29,95,CO
2015-12-06,80,CO
2015-12-13,79,CO
2015-12-20,97,CO
2015-12-27,88,CO
2016-01-03,69,CO
2016-01-10,61,CO
2016-01-17,72,CO
2016-01-24,70,CO
2016-01-31,66,CO
2016-02-07,66,CO
2016-02-14,75,CO
2016-02-21,73,CO
2016-02-28,66,CO
2016-03-06,72,CO
2016-03-13,67,CO
2016-03-20,69,CO
2016-03-27,66,CO
2016-04-03,61,CO
2016-04-10,67,CO
2016-04-17,66,CO
2016-04-24,67,CO
2016-05-01,69,CO
2016-05-08,73,CO
2016-05-15,73,CO
2016-05-22,72,CO
2016-05-29,67,CO
2016-06-05,68,CO
2016-06-12,66,CO
2016-06-19,75,CO
2016-06-26,71,CO
2016-07-03,69,CO
2016-07-10,71,CO
2016-07-17,62,CO
2016-07-24,64,CO
2016-07-31,67,CO
2016-08-07,67,CO
2016-08-14,64,CO
2016-08-21,59,CO
2016-08-28,68,CO
2016-09-04,70,CO
2016-09-11,62,CO
2016-09-18,59,CO
2016-09-25,59,CO
2016-10-02,60,CO
2016-10-09,61,CO
2016-10-16,62,CO
2016-10-23,67,CO
2016-10-30,67,CO
2016-11-06,62,CO
2016-11-13,68,CO
2016-11-20,71,CO
2016-11-27,72,CO
2016-12-04,67,CO
