date,indeed,isPartial,State
2015-02-08,41,False,AZ
2015-02-15,52,False,AZ
2015-02-22,56,False,AZ
2015-03-01,58,False,AZ
2015-03-08,40,False,AZ
2015-03-15,39,False,AZ
2015-03-22,52,False,AZ
2015-03-29,47,False,AZ
2015-04-05,51,False,AZ
2015-04-12,43,False,AZ
2015-04-19,50,False,AZ
2015-04-26,34,False,AZ
2015-05-03,53,False,AZ
2015-05-10,51,False,AZ
2015-05-17,49,False,AZ
2015-05-24,61,False,AZ
2015-05-31,48,False,AZ
2015-06-07,62,False,AZ
2015-06-14,55,False,AZ
2015-06-21,68,False,AZ
2015-06-28,52,False,AZ
2015-07-05,54,False,AZ
2015-07-12,68,False,AZ
2015-07-19,66,False,AZ
2015-07-26,51,False,AZ
2015-08-02,56,False,AZ
2015-08-09,59,False,AZ
2015-08-16,64,False,AZ
2015-08-23,58,False,AZ
2015-08-30,51,False,AZ
2015-09-06,48,False,AZ
2015-09-13,55,False,AZ
2015-09-20,53,False,AZ
2015-09-27,60,False,AZ
2015-10-04,50,False,AZ
2015-10-11,46,False,AZ
2015-10-18,50,False,AZ
2015-10-25,41,False,AZ
2015-11-01,59,False,AZ
2015-11-08,53,False,AZ
2015-11-15,44,False,AZ
2015-11-22,35,False,AZ
2015-11-29,45,False,AZ
2015-12-06,36,False,AZ
2015-12-13,45,False,AZ
2015-12-20,31,False,AZ
2015-12-27,40,False,AZ
2016-01-03,41,False,AZ
2016-01-10,43,False,AZ
2016-01-17,57,False,AZ
2016-01-24,48,False,AZ
2016-01-31,58,False,AZ
2016-02-07,48,False,AZ
2016-02-14,48,False,AZ
2016-02-21,50,False,AZ
2016-02-28,44,False,AZ
2016-03-06,41,False,AZ
2016-03-13,46,False,AZ
2016-03-20,46,False,AZ
2016-03-27,50,False,AZ
2016-04-03,57,False,AZ
2016-04-10,43,False,AZ
2016-04-17,58,False,AZ
2016-04-24,48,False,AZ
2016-05-01,46,False,AZ
2016-05-08,59,False,AZ
2016-05-15,56,False,AZ
2016-05-22,62,False,AZ
2016-05-29,53,False,AZ
2016-06-05,63,False,AZ
2016-06-12,57,False,AZ
2016-06-19,62,False,AZ
2016-06-26,58,False,AZ
2016-07-03,50,False,AZ
2016-07-10,67,False,AZ
2016-07-17,63,False,AZ
2016-07-24,60,False,AZ
2016-07-31,59,False,AZ
2016-08-07,51,False,AZ
2016-08-14,66,False,AZ
2016-08-21,57,False,AZ
2016-08-28,60,False,AZ
2016-09-04,63,False,AZ
2016-09-11,50,False,AZ
2016-09-18,60,False,AZ
2016-09-25,43,False,AZ
2016-10-02,42,False,AZ
2016-10-09,49,False,AZ
2016-10-16,59,False,AZ
2016-10-23,52,False,AZ
2016-10-30,61,False,AZ
2016-11-06,53,False,AZ
2016-11-13,46,False,AZ
2016-11-20,40,False,AZ
2016-11-27,46,False,AZ
2016-12-04,48,False,AZ
2016-12-11,44,False,AZ
2016-12-18,47,False,AZ
2016-12-25,49,False,AZ
2017-01-01,66,False,AZ
2017-01-08,62,False,AZ
2017-01-15,45,False,AZ
2017-01-22,56,False,AZ
2017-01-29,59,False,AZ
2017-02-05,57,False,AZ
2017-02-12,50,False,AZ
2017-02-19,62,False,AZ
2017-02-26,53,False,AZ
2017-03-05,57,False,AZ
2017-03-12,61,False,AZ
2017-03-19,47,False,AZ
2017-03-26,59,False,AZ
2017-04-02,59,False,AZ
2017-04-09,62,False,AZ
2017-04-16,61,False,AZ
2017-04-23,66,False,AZ
2017-04-30,55,False,AZ
2017-05-07,72,False,AZ
2017-05-14,75,False,AZ
2017-05-21,65,False,AZ
2017-05-28,62,False,AZ
2017-06-04,75,False,AZ
2017-06-11,66,False,AZ
2017-06-18,75,False,AZ
2017-06-25,70,False,AZ
2017-07-02,72,False,AZ
2017-07-09,62,False,AZ
2017-07-16,78,False,AZ
2017-07-23,68,False,AZ
2017-07-30,77,False,AZ
2017-08-06,84,False,AZ
2017-08-13,84,False,AZ
2017-08-20,75,False,AZ
2017-08-27,56,False,AZ
2017-09-03,55,False,AZ
2017-09-10,71,False,AZ
2017-09-17,73,False,AZ
2017-09-24,59,False,AZ
2017-10-01,68,False,AZ
2017-10-08,58,False,AZ
2017-10-15,69,False,AZ
2017-10-22,63,False,AZ
2017-10-29,56,False,AZ
2017-11-05,65,False,AZ
2017-11-12,69,False,AZ
2017-11-19,53,False,AZ
2017-11-26,62,False,AZ
2017-12-03,49,False,AZ
2017-12-10,52,False,AZ
2017-12-17,40,False,AZ
2017-12-24,47,False,AZ
2017-12-31,72,False,AZ
2018-01-07,72,False,AZ
2018-01-14,58,False,AZ
2018-01-21,76,False,AZ
2018-01-28,63,False,AZ
2018-02-04,73,False,AZ
2018-02-11,60,False,AZ
2018-02-18,60,False,AZ
2018-02-25,54,False,AZ
2018-03-04,81,False,AZ
2018-03-11,68,False,AZ
2018-03-18,63,False,AZ
2018-03-25,61,False,AZ
2018-04-01,69,False,AZ
2018-04-08,71,False,AZ
2018-04-15,72,False,AZ
2018-04-22,63,False,AZ
2018-04-29,61,False,AZ
2018-05-06,70,False,AZ
2018-05-13,77,False,AZ
2018-05-20,75,False,AZ
2018-05-27,100,False,AZ
2018-06-03,82,False,AZ
2018-06-10,81,False,AZ
2018-06-17,76,False,AZ
2018-06-24,79,False,AZ
2018-07-01,95,False,AZ
2018-07-08,80,False,AZ
2018-07-15,79,False,AZ
2018-07-22,94,False,AZ
2018-07-29,63,False,AZ
2018-08-05,84,False,AZ
2018-08-12,79,False,AZ
2018-08-19,73,False,AZ
2018-08-26,73,False,AZ
2018-09-02,74,False,AZ
2018-09-09,67,False,AZ
2018-09-16,69,False,AZ
2018-09-23,68,False,AZ
2018-09-30,76,False,AZ
2018-10-07,71,False,AZ
2018-10-14,51,False,AZ
2018-10-21,65,False,AZ
2018-10-28,69,False,AZ
2018-11-04,66,False,AZ
2018-11-11,66,False,AZ
2018-11-18,59,False,AZ
2018-11-25,75,False,AZ
2018-12-02,74,False,AZ
2018-12-09,80,False,AZ
2018-12-16,61,False,AZ
2018-12-23,52,False,AZ
2018-12-30,70,False,AZ
2015-01-04,47,False,AR
2015-01-11,43,False,AR
2015-01-18,37,False,AR
2015-01-25,34,False,AR
2015-02-01,42,False,AR
2015-02-08,27,False,AR
2015-02-15,44,False,AR
2015-02-22,36,False,AR
2015-03-01,30,False,AR
2015-03-08,35,False,AR
2015-03-15,22,False,AR
2015-03-22,46,False,AR
2015-03-29,27,False,AR
2015-04-05,39,False,AR
2015-04-12,42,False,AR
2015-04-19,28,False,AR
2015-04-26,32,False,AR
2015-05-03,43,False,AR
2015-05-10,46,False,AR
2015-05-17,47,False,AR
2015-05-24,34,False,AR
2015-05-31,45,False,AR
2015-06-07,24,False,AR
2015-06-14,60,False,AR
2015-06-21,35,False,AR
2015-06-28,36,False,AR
2015-07-05,51,False,AR
2015-07-12,35,False,AR
2015-07-19,28,False,AR
2015-07-26,67,False,AR
2015-08-02,33,False,AR
2015-08-09,33,False,AR
2015-08-16,36,False,AR
2015-08-23,26,False,AR
2015-08-30,44,False,AR
2015-09-06,36,False,AR
2015-09-13,44,False,AR
2015-09-20,34,False,AR
2015-09-27,41,False,AR
2015-10-04,52,False,AR
2015-10-11,45,False,AR
2015-10-18,23,False,AR
2015-10-25,39,False,AR
2015-11-01,47,False,AR
2015-11-08,45,False,AR
2015-11-15,35,False,AR
2015-11-22,37,False,AR
2015-11-29,42,False,AR
2015-12-06,54,False,AR
2015-12-13,46,False,AR
2015-12-20,39,False,AR
2015-12-27,34,False,AR
2016-01-03,50,False,AR
2016-01-10,56,False,AR
2016-01-17,37,False,AR
2016-01-24,43,False,AR
2016-01-31,46,False,AR
2016-02-07,33,False,AR
2016-02-14,42,False,AR
2016-02-21,38,False,AR
2016-02-28,42,False,AR
2016-03-06,42,False,AR
2016-03-13,37,False,AR
