date,jobs,isPartial,State
2018-12-01,48,False,CT
2019-01-01,61,False,CT
2011-01-01,74,False,DC
2011-02-01,67,False,DC
2011-03-01,73,False,DC
2011-04-01,61,False,DC
2011-05-01,63,False,DC
2011-06-01,70,False,DC
2011-07-01,64,False,DC
2011-08-01,62,False,DC
2011-09-01,68,False,DC
2011-10-01,100,False,DC
2011-11-01,60,False,DC
2011-12-01,51,False,DC
2012-01-01,65,False,DC
2012-02-01,61,False,DC
2012-03-01,60,False,DC
2012-04-01,61,False,DC
2012-05-01,62,False,DC
2012-06-01,65,False,DC
2012-07-01,69,False,DC
2012-08-01,67,False,DC
2012-09-01,65,False,DC
2012-10-01,57,False,DC
2012-11-01,67,False,DC
2012-12-01,61,False,DC
2013-01-01,79,False,DC
2013-02-01,71,False,DC
2013-03-01,70,False,DC
2013-04-01,66,False,DC
2013-05-01,65,False,DC
2013-06-01,71,False,DC
2013-07-01,85,False,DC
2013-08-01,90,False,DC
2013-09-01,78,False,DC
2013-10-01,75,False,DC
2013-11-01,72,False,DC
2013-12-01,64,False,DC
2014-01-01,75,False,DC
2014-02-01,68,False,DC
2014-03-01,68,False,DC
2014-04-01,66,False,DC
2014-05-01,76,False,DC
2014-06-01,83,False,DC
2014-07-01,77,False,DC
2014-08-01,80,False,DC
2014-09-01,66,False,DC
2014-10-01,61,False,DC
2014-11-01,55,False,DC
2014-12-01,55,False,DC
2015-01-01,64,False,DC
2015-02-01,63,False,DC
2015-03-01,62,False,DC
2015-04-01,62,False,DC
2015-05-01,62,False,DC
2015-06-01,68,False,DC
2015-07-01,71,False,DC
2015-08-01,77,False,DC
2015-09-01,72,False,DC
2015-10-01,69,False,DC
2015-11-01,66,False,DC
2015-12-01,60,False,DC
2016-01-01,66,False,DC
2016-02-01,59,False,DC
2016-03-01,66,False,DC
2016-04-01,62,False,DC
2016-05-01,64,False,DC
2016-06-01,68,False,DC
2016-07-01,64,False,DC
2016-08-01,68,False,DC
2016-09-01,63,False,DC
2016-10-01,61,False,DC
2016-11-01,62,False,DC
2016-12-01,56,False,DC
2017-01-01,67,False,DC
2017-02-01,65,False,DC
2017-03-01,65,False,DC
2017-04-01,66,False,DC
2017-05-01,64,False,DC
2017-06-01,66,False,DC
2017-07-01,67,False,DC
2017-08-01,71,False,DC
2017-09-01,65,False,DC
2017-10-01,62,False,DC
2017-11-01,64,False,DC
2017-12-01,66,False,DC
2018-01-01,84,False,DC
2018-02-01,70,False,DC
2018-03-01,75,False,DC
2018-04-01,74,False,DC
2018-05-01,78,False,DC
2018-06-01,75,False,DC
2018-07-01,78,False,DC
2018-08-01,81,False,DC
2018-09-01,70,False,DC
2018-10-01,78,False,DC
2018-11-01,74,False,DC
2018-12-01,67,False,DC
2019-01-01,81,False,DC
2011-01-01,72,False,DE
2011-02-01,64,False,DE
2011-03-01,64,False,DE
2011-04-01,67,False,DE
2011-05-01,71,False,DE
2011-06-01,70,False,DE
2011-07-01,78,False,DE
2011-08-01,66,False,DE
2011-09-01,64,False,DE
2011-10-01,100,False,DE
2011-11-01,67,False,DE
2011-12-01,47,False,DE
2012-01-01,62,False,DE
2012-02-01,65,False,DE
2012-03-01,67,False,DE
2012-04-01,60,False,DE
2012-05-01,60,False,DE
2012-06-01,66,False,DE
2012-07-01,67,False,DE
2012-08-01,66,False,DE
2012-09-01,59,False,DE
2012-10-01,63,False,DE
2012-11-01,52,False,DE
2012-12-01,48,False,DE
2013-01-01,66,False,DE
2013-02-01,59,False,DE
2013-03-01,63,False,DE
2013-04-01,68,False,DE
2013-05-01,58,False,DE
2013-06-01,65,False,DE
2013-07-01,65,False,DE
2013-08-01,71,False,DE
2013-09-01,64,False,DE
2013-10-01,66,False,DE
2013-11-01,66,False,DE
2013-12-01,45,False,DE
2014-01-01,57,False,DE
2014-02-01,61,False,DE
2014-03-01,59,False,DE
2014-04-01,62,False,DE
2014-05-01,67,False,DE
2014-06-01,72,False,DE
2014-07-01,62,False,DE
2014-08-01,66,False,DE
2014-09-01,58,False,DE
2014-10-01,65,False,DE
2014-11-01,63,False,DE
2014-12-01,47,False,DE
2015-01-01,69,False,DE
2015-02-01,61,False,DE
2015-03-01,62,False,DE
2015-04-01,60,False,DE
2015-05-01,61,False,DE
2015-06-01,70,False,DE
2015-07-01,61,False,DE
2015-08-01,74,False,DE
2015-09-01,59,False,DE
2015-10-01,55,False,DE
2015-11-01,58,False,DE
2015-12-01,46,False,DE
2016-01-01,70,False,DE
2016-02-01,57,False,DE
2016-03-01,53,False,DE
2016-04-01,61,False,DE
2016-05-01,60,False,DE
2016-06-01,66,False,DE
2016-07-01,57,False,DE
2016-08-01,59,False,DE
2016-09-01,58,False,DE
2016-10-01,53,False,DE
2016-11-01,54,False,DE
2016-12-01,50,False,DE
2017-01-01,61,False,DE
2017-02-01,56,False,DE
2017-03-01,55,False,DE
2017-04-01,51,False,DE
2017-05-01,55,False,DE
2017-06-01,60,False,DE
2017-07-01,58,False,DE
2017-08-01,67,False,DE
2017-09-01,58,False,DE
2017-10-01,57,False,DE
2017-11-01,53,False,DE
2017-12-01,54,False,DE
2018-01-01,66,False,DE
2018-02-01,55,False,DE
2018-03-01,57,False,DE
2018-04-01,59,False,DE
2018-05-01,63,False,DE
2018-06-01,59,False,DE
2018-07-01,62,False,DE
2018-08-01,63,False,DE
2018-09-01,60,False,DE
2018-10-01,62,False,DE
2018-11-01,51,False,DE
2018-12-01,49,False,DE
2019-01-01,61,False,DE
2011-01-01,71,False,FL
2011-02-01,64,False,FL
