date,resume,isPartial,State
2015-07-19,73,False,AZ
2015-07-26,66,False,AZ
2015-08-02,59,False,AZ
2015-08-09,69,False,AZ
2015-08-16,81,False,AZ
2015-08-23,79,False,AZ
2015-08-30,66,False,AZ
2015-09-06,71,False,AZ
2015-09-13,60,False,AZ
2015-09-20,78,False,AZ
2015-09-27,78,False,AZ
2015-10-04,72,False,AZ
2015-10-11,61,False,AZ
2015-10-18,67,False,AZ
2015-10-25,64,False,AZ
2015-11-01,62,False,AZ
2015-11-08,50,False,AZ
2015-11-15,46,False,AZ
2015-11-22,37,False,AZ
2015-11-29,57,False,AZ
2015-12-06,45,False,AZ
2015-12-13,51,False,AZ
2015-12-20,32,False,AZ
2015-12-27,47,False,AZ
2016-01-03,58,False,AZ
2016-01-10,45,False,AZ
2016-01-17,55,False,AZ
2016-01-24,65,False,AZ
2016-01-31,70,False,AZ
2016-02-07,42,False,AZ
2016-02-14,49,False,AZ
2016-02-21,50,False,AZ
2016-02-28,70,False,AZ
2016-03-06,42,False,AZ
2016-03-13,46,False,AZ
2016-03-20,51,False,AZ
2016-03-27,66,False,AZ
2016-04-03,65,False,AZ
2016-04-10,63,False,AZ
2016-04-17,49,False,AZ
2016-04-24,68,False,AZ
2016-05-01,43,False,AZ
2016-05-08,74,False,AZ
2016-05-15,69,False,AZ
2016-05-22,60,False,AZ
2016-05-29,59,False,AZ
2016-06-05,67,False,AZ
2016-06-12,62,False,AZ
2016-06-19,56,False,AZ
2016-06-26,67,False,AZ
2016-07-03,47,False,AZ
2016-07-10,40,False,AZ
2016-07-17,51,False,AZ
2016-07-24,54,False,AZ
2016-07-31,68,False,AZ
2016-08-07,59,False,AZ
2016-08-14,79,False,AZ
2016-08-21,65,False,AZ
2016-08-28,56,False,AZ
2016-09-04,38,False,AZ
2016-09-11,58,False,AZ
2016-09-18,61,False,AZ
2016-09-25,39,False,AZ
2016-10-02,50,False,AZ
2016-10-09,46,False,AZ
2016-10-16,50,False,AZ
2016-10-23,43,False,AZ
2016-10-30,49,False,AZ
2016-11-06,56,False,AZ
2016-11-13,45,False,AZ
2016-11-20,35,False,AZ
2016-11-27,51,False,AZ
2016-12-04,42,False,AZ
2016-12-11,42,False,AZ
2016-12-18,33,False,AZ
2016-12-25,34,False,AZ
2017-01-01,51,False,AZ
2017-01-08,60,False,AZ
2017-01-15,43,False,AZ
2017-01-22,60,False,AZ
2017-01-29,75,False,AZ
2017-02-05,52,False,AZ
2017-02-12,43,False,AZ
2017-02-19,63,False,AZ
2017-02-26,61,False,AZ
2017-03-05,54,False,AZ
2017-03-12,70,False,AZ
2017-03-19,58,False,AZ
2017-03-26,45,False,AZ
2017-04-02,57,False,AZ
2017-04-09,48,False,AZ
2017-04-16,57,False,AZ
2017-04-23,50,False,AZ
2017-04-30,60,False,AZ
2017-05-07,57,False,AZ
2017-05-14,63,False,AZ
2017-05-21,57,False,AZ
2017-05-28,60,False,AZ
2017-06-04,69,False,AZ
2017-06-11,50,False,AZ
2017-06-18,56,False,AZ
2017-06-25,50,False,AZ
2017-07-02,40,False,AZ
2017-07-09,52,False,AZ
2017-07-16,59,False,AZ
2017-07-23,49,False,AZ
2017-07-30,50,False,AZ
2017-08-06,68,False,AZ
2017-08-13,64,False,AZ
2017-08-20,54,False,AZ
2017-08-27,54,False,AZ
2017-09-03,70,False,AZ
2017-09-10,62,False,AZ
2017-09-17,54,False,AZ
2017-09-24,53,False,AZ
2017-10-01,33,False,AZ
2017-10-08,59,False,AZ
2017-10-15,55,False,AZ
2017-10-22,41,False,AZ
2017-10-29,53,False,AZ
2017-11-05,47,False,AZ
