date,unemployment,State
2016-07-17,65,CA
2016-07-24,63,CA
2016-07-31,62,CA
2016-08-07,61,CA
2016-08-14,57,CA
2016-08-21,68,CA
2016-08-28,58,CA
2016-09-04,51,CA
2016-09-11,61,CA
2016-09-18,61,CA
2016-09-25,58,CA
2016-10-02,60,CA
2016-10-09,57,CA
2016-10-16,57,CA
2016-10-23,56,CA
2016-10-30,65,CA
2016-11-06,56,CA
2016-11-13,61,CA
2016-11-20,48,CA
2016-11-27,67,CA
2016-12-04,72,CA
2016-12-11,66,CA
2016-12-18,56,CA
2016-12-25,54,CA
2017-01-01,75,CA
2017-01-08,80,CA
2017-01-15,76,CA
2017-01-22,76,CA
2017-01-29,77,CA
2017-02-05,70,CA
2017-02-12,63,CA
2017-02-19,61,CA
2017-02-26,64,CA
2017-03-05,65,CA
2017-03-12,61,CA
2017-03-19,58,CA
2017-03-26,53,CA
2017-04-02,61,CA
2017-04-09,57,CA
2017-04-16,61,CA
2017-04-23,57,CA
2017-04-30,64,CA
2017-05-07,67,CA
2017-05-14,57,CA
2017-05-21,55,CA
2017-05-28,58,CA
2017-06-04,63,CA
2017-06-11,65,CA
2017-06-18,58,CA
2017-06-25,61,CA
2017-07-02,58,CA
2017-07-09,53,CA
2017-07-16,52,CA
2017-07-23,60,CA
2017-07-30,63,CA
2017-08-06,57,CA
2017-08-13,53,CA
2017-08-20,53,CA
2017-08-27,55,CA
2017-09-03,45,CA
2017-09-10,52,CA
2017-09-17,49,CA
2017-09-24,56,CA
2017-10-01,52,CA
2017-10-08,54,CA
2017-10-15,60,CA
2017-10-22,53,CA
2017-10-29,59,CA
2017-11-05,58,CA
2017-11-12,60,CA
2017-11-19,44,CA
2017-11-26,64,CA
2017-12-03,61,CA
2017-12-10,63,CA
2017-12-17,54,CA
2017-12-24,48,CA
2017-12-31,68,CA
2018-01-07,65,CA
2018-01-14,67,CA
2018-01-21,74,CA
2018-01-28,77,CA
2018-02-04,59,CA
2018-02-11,55,CA
2018-02-18,57,CA
2018-02-25,63,CA
2018-03-04,60,CA
2018-03-11,60,CA
2018-03-18,57,CA
2018-03-25,49,CA
2018-04-01,58,CA
2018-04-08,65,CA
2018-04-15,57,CA
2018-04-22,63,CA
2018-04-29,66,CA
2018-05-06,57,CA
2018-05-13,65,CA
2018-05-20,57,CA
2018-05-27,61,CA
2018-06-03,54,CA
2018-06-10,64,CA
2018-06-17,62,CA
2018-06-24,65,CA
2018-07-01,58,CA
2018-07-08,60,CA
2018-07-15,57,CA
2018-07-22,56,CA
2018-07-29,62,CA
2018-08-05,58,CA
2018-08-12,59,CA
2018-08-19,54,CA
2018-08-26,54,CA
2018-09-02,54,CA
2018-09-09,56,CA
2018-09-16,58,CA
2018-09-23,53,CA
2018-09-30,64,CA
2018-10-07,59,CA
2018-10-14,58,CA
2018-10-21,53,CA
2018-10-28,61,CA
2018-11-04,60,CA
2018-11-11,61,CA
2018-11-18,53,CA
2018-11-25,75,CA
2018-12-02,71,CA
2018-12-09,64,CA
2018-12-16,61,CA
2018-12-23,52,CA
2018-12-30,64,CA
2015-01-04,76,CO
2015-01-11,82,CO
2015-01-18,100,CO
2015-01-25,78,CO
2015-02-01,58,CO
2015-02-08,80,CO
2015-02-15,63,CO
2015-02-22,48,CO
2015-03-01,57,CO
2015-03-08,66,CO
2015-03-15,50,CO
2015-03-22,84,CO
2015-03-29,60,CO
2015-04-05,78,CO
2015-04-12,77,CO
2015-04-19,64,CO
2015-04-26,68,CO
2015-05-03,72,CO
2015-05-10,41,CO
2015-05-17,53,CO
2015-05-24,51,CO
2015-05-31,63,CO
2015-06-07,51,CO
2015-06-14,49,CO
2015-06-21,60,CO
2015-06-28,47,CO
2015-07-05,47,CO
2015-07-12,65,CO
2015-07-19,40,CO
2015-07-26,51,CO
2015-08-02,51,CO
2015-08-09,48,CO
2015-08-16,49,CO
2015-08-23,37,CO
2015-08-30,56,CO
2015-09-06,53,CO
2015-09-13,57,CO
2015-09-20,38,CO
2015-09-27,60,CO
2015-10-04,56,CO
2015-10-11,73,CO
2015-10-18,46,CO
2015-10-25,71,CO
2015-11-01,67,CO
2015-11-08,59,CO
2015-11-15,58,CO
2015-11-22,61,CO
2015-11-29,69,CO
2015-12-06,56,CO
2015-12-13,62,CO
2015-12-20,53,CO
2015-12-27,38,CO
2016-01-03,65,CO
2016-01-10,57,CO
2016-01-17,74,CO
2016-01-24,54,CO
2016-01-31,55,CO
2016-02-07,49,CO
2016-02-14,67,CO
2016-02-21,69,CO
2016-02-28,66,CO
2016-03-06,54,CO
2016-03-13,51,CO
2016-03-20,44,CO
2016-03-27,46,CO
2016-04-03,48,CO
2016-04-10,67,CO
2016-04-17,48,CO
2016-04-24,57,CO
2016-05-01,52,CO
2016-05-08,30,CO
2016-05-15,40,CO
2016-05-22,39,CO
2016-05-29,55,CO
2016-06-05,64,CO
2016-06-12,39,CO
2016-06-19,31,CO
2016-06-26,51,CO
2016-07-03,44,CO
2016-07-10,39,CO
2016-07-17,25,CO
2016-07-24,34,CO
2016-07-31,30,CO
2016-08-07,43,CO
2016-08-14,37,CO
2016-08-21,46,CO
2016-08-28,38,CO
2016-09-04,26,CO
2016-09-11,30,CO
2016-09-18,47,CO
2016-09-25,49,CO
2016-10-02,40,CO
2016-10-09,50,CO
2016-10-16,33,CO
2016-10-23,40,CO
2016-10-30,48,CO
2016-11-06,38,CO
2016-11-13,37,CO
2016-11-20,28,CO
2016-11-27,56,CO
2016-12-04,51,CO
