date,calvin klein,isPartial,State
2013-07-01,0,False,DE
2013-08-01,49,False,DE
2013-09-01,36,False,DE
2013-10-01,23,False,DE
2013-11-01,23,False,DE
2013-12-01,26,False,DE
2014-01-01,27,False,DE
2014-02-01,21,False,DE
2014-03-01,38,False,DE
2014-04-01,0,False,DE
2014-05-01,32,False,DE
2014-06-01,50,False,DE
2014-07-01,37,False,DE
2014-08-01,36,False,DE
2014-09-01,11,False,DE
2014-10-01,43,False,DE
2014-11-01,93,False,DE
2014-12-01,58,False,DE
2015-01-01,57,False,DE
2015-02-01,36,False,DE
2015-03-01,11,False,DE
2015-04-01,68,False,DE
2015-05-01,12,False,DE
2015-06-01,26,False,DE
2015-07-01,25,False,DE
2015-08-01,100,False,DE
2015-09-01,36,False,DE
2015-10-01,33,False,DE
2015-11-01,80,False,DE
2015-12-01,45,False,DE
2016-01-01,22,False,DE
2016-02-01,24,False,DE
2016-03-01,38,False,DE
2016-04-01,46,False,DE
2016-05-01,60,False,DE
2016-06-01,33,False,DE
2016-07-01,78,False,DE
2016-08-01,40,False,DE
2016-09-01,52,False,DE
2016-10-01,89,False,DE
2016-11-01,44,False,DE
2016-12-01,49,False,DE
2017-01-01,34,False,DE
2017-02-01,58,False,DE
2017-03-01,32,False,DE
2017-04-01,21,False,DE
2017-05-01,27,False,DE
2017-06-01,22,False,DE
2017-07-01,55,False,DE
2017-08-01,52,False,DE
2017-09-01,20,False,DE
2017-10-01,56,False,DE
2017-11-01,45,False,DE
2017-12-01,77,False,DE
2018-01-01,67,False,DE
2018-02-01,20,False,DE
2018-03-01,49,False,DE
2018-04-01,51,False,DE
2018-05-01,18,False,DE
2018-06-01,45,False,DE
2018-07-01,49,False,DE
2018-08-01,44,False,DE
2018-09-01,38,False,DE
2018-10-01,68,False,DE
2018-11-01,89,False,DE
2018-12-01,70,False,DE
2019-01-01,31,False,DE
2011-01-01,34,False,FL
2011-02-01,33,False,FL
2011-03-01,34,False,FL
2011-04-01,32,False,FL
2011-05-01,32,False,FL
2011-06-01,41,False,FL
2011-07-01,30,False,FL
2011-08-01,32,False,FL
2011-09-01,33,False,FL
2011-10-01,33,False,FL
2011-11-01,41,False,FL
2011-12-01,56,False,FL
2012-01-01,32,False,FL
2012-02-01,24,False,FL
2012-03-01,30,False,FL
2012-04-01,43,False,FL
2012-05-01,52,False,FL
2012-06-01,41,False,FL
2012-07-01,40,False,FL
2012-08-01,34,False,FL
2012-09-01,40,False,FL
2012-10-01,31,False,FL
2012-11-01,52,False,FL
2012-12-01,54,False,FL
2013-01-01,36,False,FL
2013-02-01,47,False,FL
2013-03-01,33,False,FL
2013-04-01,33,False,FL
2013-05-01,37,False,FL
2013-06-01,31,False,FL
2013-07-01,31,False,FL
2013-08-01,42,False,FL
2013-09-01,38,False,FL
2013-10-01,34,False,FL
2013-11-01,40,False,FL
2013-12-01,55,False,FL
2014-01-01,42,False,FL
2014-02-01,37,False,FL
2014-03-01,40,False,FL
2014-04-01,39,False,FL
2014-05-01,44,False,FL
2014-06-01,34,False,FL
2014-07-01,44,False,FL
2014-08-01,44,False,FL
2014-09-01,43,False,FL
2014-10-01,39,False,FL
2014-11-01,49,False,FL
2014-12-01,65,False,FL
2015-01-01,100,False,FL
2015-02-01,45,False,FL
2015-03-01,48,False,FL
2015-04-01,46,False,FL
2015-05-01,62,False,FL
2015-06-01,37,False,FL
2015-07-01,58,False,FL
2015-08-01,50,False,FL
2015-09-01,39,False,FL
2015-10-01,54,False,FL
2015-11-01,68,False,FL
2015-12-01,82,False,FL
2016-01-01,58,False,FL
2016-02-01,56,False,FL
2016-03-01,50,False,FL
2016-04-01,58,False,FL
2016-05-01,64,False,FL
2016-06-01,51,False,FL
2016-07-01,57,False,FL
2016-08-01,57,False,FL
2016-09-01,40,False,FL
2016-10-01,53,False,FL
2016-11-01,74,False,FL
2016-12-01,84,False,FL
2017-01-01,46,False,FL
2017-02-01,57,False,FL
2017-03-01,57,False,FL
2017-04-01,54,False,FL
2017-05-01,54,False,FL
2017-06-01,55,False,FL
2017-07-01,55,False,FL
2017-08-01,56,False,FL
2017-09-01,54,False,FL
2017-10-01,51,False,FL
2017-11-01,68,False,FL
2017-12-01,71,False,FL
2018-01-01,63,False,FL
2018-02-01,52,False,FL
2018-03-01,53,False,FL
2018-04-01,52,False,FL
2018-05-01,57,False,FL
2018-06-01,55,False,FL
2018-07-01,53,False,FL
2018-08-01,56,False,FL
2018-09-01,44,False,FL
2018-10-01,51,False,FL
2018-11-01,71,False,FL
2018-12-01,85,False,FL
2019-01-01,54,False,FL
2011-01-01,50,False,GA
2011-02-01,44,False,GA
2011-03-01,27,False,GA
2011-04-01,37,False,GA
2011-05-01,25,False,GA
2011-06-01,33,False,GA
2011-07-01,21,False,GA
2011-08-01,27,False,GA
2011-09-01,31,False,GA
2011-10-01,35,False,GA
2011-11-01,39,False,GA
2011-12-01,47,False,GA
2012-01-01,31,False,GA
2012-02-01,33,False,GA
2012-03-01,28,False,GA
2012-04-01,25,False,GA
2012-05-01,40,False,GA
2012-06-01,31,False,GA
