date,harvard,isPartial,State
2015-06-01,64,False,CO
2015-07-01,64,False,CO
2015-08-01,76,False,CO
2015-09-01,82,False,CO
2015-10-01,88,False,CO
2015-11-01,71,False,CO
2015-12-01,53,False,CO
2016-01-01,76,False,CO
2016-02-01,67,False,CO
2016-03-01,59,False,CO
2016-04-01,69,False,CO
2016-05-01,89,False,CO
2016-06-01,58,False,CO
2016-07-01,76,False,CO
2016-08-01,63,False,CO
2016-09-01,64,False,CO
2016-10-01,75,False,CO
2016-11-01,60,False,CO
2016-12-01,69,False,CO
2017-01-01,71,False,CO
2017-02-01,57,False,CO
2017-03-01,72,False,CO
2017-04-01,74,False,CO
2017-05-01,71,False,CO
2017-06-01,81,False,CO
2017-07-01,54,False,CO
2017-08-01,70,False,CO
2017-09-01,61,False,CO
2017-10-01,70,False,CO
2017-11-01,73,False,CO
2017-12-01,74,False,CO
2018-01-01,68,False,CO
2018-02-01,74,False,CO
2018-03-01,72,False,CO
2018-04-01,67,False,CO
2018-05-01,80,False,CO
2018-06-01,63,False,CO
2018-07-01,56,False,CO
2018-08-01,82,False,CO
2018-09-01,71,False,CO
2018-10-01,80,False,CO
2018-11-01,68,False,CO
2018-12-01,74,False,CO
2019-01-01,70,False,CO
2011-01-01,76,False,CT
2011-02-01,72,False,CT
2011-03-01,61,False,CT
2011-04-01,69,False,CT
2011-05-01,56,False,CT
2011-06-01,54,False,CT
2011-07-01,55,False,CT
2011-08-01,58,False,CT
2011-09-01,57,False,CT
2011-10-01,78,False,CT
2011-11-01,98,False,CT
2011-12-01,67,False,CT
2012-01-01,61,False,CT
2012-02-01,72,False,CT
2012-03-01,60,False,CT
2012-04-01,71,False,CT
2012-05-01,66,False,CT
2012-06-01,53,False,CT
2012-07-01,42,False,CT
2012-08-01,62,False,CT
2012-09-01,60,False,CT
2012-10-01,70,False,CT
2012-11-01,70,False,CT
2012-12-01,31,False,CT
2013-01-01,44,False,CT
2013-02-01,53,False,CT
2013-03-01,63,False,CT
2013-04-01,56,False,CT
2013-05-01,62,False,CT
2013-06-01,52,False,CT
2013-07-01,48,False,CT
2013-08-01,42,False,CT
2013-09-01,63,False,CT
2013-10-01,66,False,CT
2013-11-01,81,False,CT
2013-12-01,68,False,CT
2014-01-01,51,False,CT
2014-02-01,56,False,CT
