date,candy crush,isPartial,State
2013-02-01,9,False,FL
2013-03-01,16,False,FL
2013-04-01,29,False,FL
2013-05-01,51,False,FL
2013-06-01,82,False,FL
2013-07-01,100,False,FL
2013-08-01,98,False,FL
2013-09-01,84,False,FL
2013-10-01,74,False,FL
2013-11-01,68,False,FL
2013-12-01,65,False,FL
2014-01-01,58,False,FL
2014-02-01,54,False,FL
2014-03-01,48,False,FL
2014-04-01,40,False,FL
2014-05-01,36,False,FL
2014-06-01,35,False,FL
2014-07-01,32,False,FL
2014-08-01,29,False,FL
2014-09-01,28,False,FL
2014-10-01,23,False,FL
2014-11-01,24,False,FL
2014-12-01,24,False,FL
2015-01-01,25,False,FL
2015-02-01,22,False,FL
2015-03-01,21,False,FL
2015-04-01,21,False,FL
2015-05-01,18,False,FL
2015-06-01,17,False,FL
2015-07-01,16,False,FL
2015-08-01,17,False,FL
2015-09-01,14,False,FL
2015-10-01,15,False,FL
2015-11-01,15,False,FL
2015-12-01,13,False,FL
2016-01-01,17,False,FL
2016-02-01,14,False,FL
2016-03-01,14,False,FL
2016-04-01,14,False,FL
2016-05-01,12,False,FL
2016-06-01,13,False,FL
2016-07-01,14,False,FL
2016-08-01,11,False,FL
2016-09-01,13,False,FL
2016-10-01,12,False,FL
2016-11-01,11,False,FL
2016-12-01,11,False,FL
2017-01-01,12,False,FL
2017-02-01,11,False,FL
2017-03-01,10,False,FL
2017-04-01,10,False,FL
2017-05-01,10,False,FL
2017-06-01,11,False,FL
2017-07-01,12,False,FL
2017-08-01,12,False,FL
2017-09-01,10,False,FL
2017-10-01,9,False,FL
2017-11-01,10,False,FL
2017-12-01,11,False,FL
2018-01-01,11,False,FL
2018-02-01,11,False,FL
2018-03-01,10,False,FL
2018-04-01,10,False,FL
2018-05-01,8,False,FL
2018-06-01,9,False,FL
2018-07-01,10,False,FL
2018-08-01,9,False,FL
2018-09-01,8,False,FL
2018-10-01,8,False,FL
2018-11-01,10,False,FL
2018-12-01,9,False,FL
2019-01-01,11,False,FL
2011-01-01,0,False,GA
2011-02-01,0,False,GA
2011-03-01,0,False,GA
2011-04-01,0,False,GA
2011-05-01,0,False,GA
2011-06-01,0,False,GA
2011-07-01,0,False,GA
2011-08-01,0,False,GA
2011-09-01,0,False,GA
2011-10-01,0,False,GA
2011-11-01,0,False,GA
2011-12-01,0,False,GA
2012-01-01,0,False,GA
2012-02-01,0,False,GA
2012-03-01,0,False,GA
2012-04-01,0,False,GA
2012-05-01,0,False,GA
2012-06-01,0,False,GA
2012-07-01,0,False,GA
