date,participants,policy,isPartial,State
2016-05-01,1,82,False,AR
2016-06-01,0,54,False,AR
2016-07-01,3,64,False,AR
2016-08-01,2,56,False,AR
2016-09-01,2,49,False,AR
2016-10-01,1,65,False,AR
2016-11-01,2,82,False,AR
2016-12-01,0,67,False,AR
2017-01-01,1,71,False,AR
2017-02-01,5,64,False,AR
2017-03-01,0,62,False,AR
2017-04-01,2,73,False,AR
2017-05-01,1,63,False,AR
2017-06-01,4,55,False,AR
2017-07-01,1,58,False,AR
2017-08-01,2,54,False,AR
2017-09-01,2,56,False,AR
2017-10-01,3,78,False,AR
2017-11-01,1,66,False,AR
2017-12-01,2,71,False,AR
2018-01-01,1,65,False,AR
2018-02-01,2,70,False,AR
2018-03-01,1,66,False,AR
2018-04-01,1,66,False,AR
2018-05-01,1,76,False,AR
2018-06-01,2,67,False,AR
2018-07-01,2,69,False,AR
2018-08-01,0,76,False,AR
2018-09-01,5,62,False,AR
2018-10-01,3,68,False,AR
2018-11-01,2,74,False,AR
2018-12-01,2,76,False,AR
2019-01-01,1,54,False,AR
2011-01-01,1,62,False,CA
2011-02-01,1,59,False,CA
2011-03-01,2,64,False,CA
2011-04-01,1,65,False,CA
2011-05-01,1,72,False,CA
2011-06-01,1,58,False,CA
2011-07-01,1,62,False,CA
2011-08-01,1,56,False,CA
2011-09-01,1,54,False,CA
2011-10-01,2,61,False,CA
2011-11-01,1,69,False,CA
2011-12-01,1,66,False,CA
2012-01-01,1,57,False,CA
2012-02-01,2,66,False,CA
2012-03-01,2,70,False,CA
2012-04-01,1,63,False,CA
2012-05-01,1,77,False,CA
2012-06-01,1,64,False,CA
2012-07-01,3,59,False,CA
2012-08-01,1,63,False,CA
2012-09-01,1,65,False,CA
2012-10-01,2,71,False,CA
2012-11-01,2,72,False,CA
2012-12-01,1,72,False,CA
2013-01-01,2,66,False,CA
2013-02-01,2,69,False,CA
2013-03-01,1,70,False,CA
2013-04-01,2,76,False,CA
2013-05-01,1,75,False,CA
2013-06-01,1,65,False,CA
2013-07-01,1,57,False,CA
2013-08-01,2,66,False,CA
2013-09-01,1,67,False,CA
2013-10-01,2,76,False,CA
2013-11-01,1,75,False,CA
2013-12-01,1,75,False,CA
2014-01-01,2,77,False,CA
2014-02-01,2,69,False,CA
2014-03-01,2,75,False,CA
2014-04-01,1,80,False,CA
2014-05-01,1,81,False,CA
2014-06-01,2,71,False,CA
2014-07-01,1,70,False,CA
2014-08-01,2,71,False,CA
2014-09-01,2,78,False,CA
2014-10-01,2,73,False,CA
2014-11-01,2,75,False,CA
2014-12-01,1,75,False,CA
2015-01-01,2,74,False,CA
2015-02-01,2,70,False,CA
2015-03-01,2,76,False,CA
2015-04-01,2,82,False,CA
2015-05-01,1,78,False,CA
2015-06-01,1,77,False,CA
2015-07-01,2,69,False,CA
2015-08-01,1,78,False,CA
2015-09-01,2,76,False,CA
2015-10-01,2,87,False,CA
2015-11-01,2,85,False,CA
2015-12-01,1,88,False,CA
2016-01-01,2,75,False,CA
2016-02-01,2,83,False,CA
2016-03-01,2,80,False,CA
2016-04-01,2,90,False,CA
2016-05-01,2,86,False,CA
2016-06-01,1,79,False,CA
2016-07-01,2,71,False,CA
2016-08-01,2,70,False,CA
2016-09-01,2,79,False,CA
2016-10-01,2,81,False,CA
2016-11-01,2,91,False,CA
2016-12-01,1,90,False,CA
2017-01-01,2,86,False,CA
2017-02-01,3,86,False,CA
2017-03-01,2,91,False,CA
2017-04-01,2,91,False,CA
2017-05-01,2,90,False,CA
2017-06-01,2,79,False,CA
2017-07-01,2,74,False,CA
2017-08-01,1,82,False,CA
2017-09-01,1,83,False,CA
2017-10-01,2,86,False,CA
2017-11-01,2,91,False,CA
2017-12-01,2,92,False,CA
2018-01-01,2,83,False,CA
2018-02-01,3,86,False,CA
2018-03-01,2,91,False,CA
2018-04-01,2,89,False,CA
2018-05-01,2,100,False,CA
2018-06-01,2,93,False,CA
2018-07-01,1,83,False,CA
2018-08-01,1,85,False,CA
2018-09-01,3,83,False,CA
2018-10-01,2,85,False,CA
2018-11-01,2,88,False,CA
2018-12-01,2,91,False,CA
2019-01-01,2,85,False,CA
2011-01-01,1,58,False,CO
2011-02-01,2,57,False,CO
2011-03-01,2,75,False,CO
2011-04-01,1,71,False,CO
2011-05-01,1,78,False,CO
2011-06-01,2,62,False,CO
2011-07-01,2,65,False,CO
2011-08-01,2,67,False,CO
2011-09-01,3,68,False,CO
2011-10-01,0,62,False,CO
2011-11-01,0,83,False,CO
2011-12-01,1,67,False,CO
2012-01-01,1,69,False,CO
2012-02-01,1,76,False,CO
2012-03-01,1,64,False,CO
2012-04-01,2,77,False,CO
2012-05-01,2,74,False,CO
2012-06-01,1,70,False,CO
2012-07-01,3,65,False,CO
2012-08-01,3,62,False,CO
2012-09-01,0,69,False,CO
2012-10-01,1,72,False,CO
2012-11-01,1,75,False,CO
2012-12-01,0,66,False,CO
2013-01-01,1,76,False,CO
2013-02-01,0,75,False,CO
2013-03-01,2,69,False,CO
2013-04-01,1,87,False,CO
2013-05-01,1,85,False,CO
2013-06-01,1,62,False,CO
2013-07-01,1,57,False,CO
2013-08-01,2,70,False,CO
2013-09-01,2,65,False,CO
2013-10-01,1,72,False,CO
2013-11-01,0,70,False,CO
2013-12-01,1,74,False,CO
2014-01-01,2,79,False,CO
2014-02-01,4,72,False,CO
2014-03-01,1,67,False,CO
2014-04-01,0,80,False,CO
2014-05-01,2,84,False,CO
2014-06-01,2,64,False,CO
2014-07-01,3,67,False,CO
2014-08-01,2,67,False,CO
2014-09-01,2,70,False,CO
2014-10-01,3,76,False,CO
2014-11-01,2,81,False,CO
2014-12-01,2,87,False,CO
2015-01-01,2,81,False,CO
2015-02-01,1,86,False,CO
2015-03-01,1,94,False,CO
2015-04-01,3,86,False,CO
2015-05-01,3,70,False,CO
2015-06-01,1,79,False,CO
2015-07-01,3,75,False,CO
2015-08-01,1,68,False,CO
2015-09-01,2,79,False,CO
2015-10-01,3,84,False,CO
2015-11-01,1,95,False,CO
2015-12-01,1,81,False,CO
2016-01-01,1,80,False,CO
2016-02-01,1,74,False,CO
2016-03-01,2,87,False,CO
2016-04-01,3,94,False,CO
2016-05-01,1,79,False,CO
2016-06-01,1,71,False,CO
2016-07-01,2,77,False,CO
2016-08-01,2,76,False,CO
2016-09-01,2,84,False,CO
2016-10-01,1,77,False,CO
2016-11-01,3,100,False,CO
2016-12-01,2,88,False,CO
2017-01-01,2,93,False,CO
2017-02-01,3,87,False,CO
2017-03-01,2,81,False,CO
2017-04-01,2,93,False,CO
2017-05-01,3,85,False,CO
2017-06-01,1,78,False,CO
2017-07-01,2,74,False,CO
2017-08-01,1,72,False,CO
2017-09-01,2,78,False,CO
2017-10-01,1,93,False,CO
2017-11-01,3,78,False,CO
2017-12-01,1,85,False,CO
2018-01-01,2,86,False,CO
2018-02-01,2,91,False,CO
2018-03-01,3,78,False,CO
2018-04-01,2,95,False,CO
2018-05-01,2,95,False,CO
2018-06-01,2,88,False,CO
2018-07-01,2,85,False,CO
2018-08-01,3,89,False,CO
2018-09-01,1,90,False,CO
2018-10-01,2,85,False,CO
2018-11-01,2,83,False,CO
2018-12-01,1,92,False,CO
2019-01-01,2,79,False,CO
2011-01-01,1,68,False,CT
2011-02-01,1,68,False,CT
2011-03-01,2,85,False,CT
2011-04-01,0,77,False,CT
2011-05-01,0,84,False,CT
2011-06-01,1,66,False,CT
2011-07-01,1,65,False,CT
2011-08-01,1,52,False,CT
2011-09-01,2,71,False,CT
2011-10-01,2,69,False,CT
2011-11-01,2,71,False,CT
2011-12-01,1,65,False,CT
2012-01-01,1,51,False,CT
2012-02-01,1,85,False,CT
2012-03-01,1,70,False,CT
2012-04-01,2,77,False,CT
2012-05-01,1,74,False,CT
2012-06-01,3,59,False,CT
2012-07-01,1,58,False,CT
2012-08-01,0,59,False,CT
2012-09-01,1,66,False,CT
2012-10-01,3,74,False,CT
2012-11-01,0,80,False,CT
2012-12-01,1,45,False,CT
2013-01-01,2,53,False,CT
2013-02-01,3,71,False,CT
2013-03-01,1,60,False,CT
2013-04-01,1,90,False,CT
2013-05-01,1,83,False,CT
2013-06-01,1,81,False,CT
2013-07-01,2,70,False,CT
2013-08-01,3,62,False,CT
