date,online masters,isPartial,State
2017-10-01,23,False,AR
2017-10-08,0,False,AR
2017-10-15,12,False,AR
2017-10-22,12,False,AR
2017-10-29,23,False,AR
2017-11-05,0,False,AR
2017-11-12,0,False,AR
2017-11-19,0,False,AR
2017-11-26,0,False,AR
2017-12-03,0,False,AR
2017-12-10,0,False,AR
2017-12-17,12,False,AR
2017-12-24,0,False,AR
2017-12-31,0,False,AR
2018-01-07,10,False,AR
2018-01-14,10,False,AR
2018-01-21,31,False,AR
2018-01-28,0,False,AR
2018-02-04,20,False,AR
2018-02-11,30,False,AR
2018-02-18,10,False,AR
2018-02-25,0,False,AR
2018-03-04,10,False,AR
2018-03-11,0,False,AR
2018-03-18,24,False,AR
2018-03-25,31,False,AR
2018-04-01,41,False,AR
2018-04-08,10,False,AR
2018-04-15,21,False,AR
2018-04-22,21,False,AR
2018-04-29,0,False,AR
2018-05-06,11,False,AR
2018-05-13,11,False,AR
2018-05-20,23,False,AR
2018-05-27,0,False,AR
2018-06-03,24,False,AR
2018-06-10,0,False,AR
2018-06-17,11,False,AR
2018-06-24,12,False,AR
2018-07-01,37,False,AR
2018-07-08,0,False,AR
2018-07-15,23,False,AR
2018-07-22,24,False,AR
2018-07-29,0,False,AR
2018-08-05,0,False,AR
2018-08-12,23,False,AR
2018-08-19,11,False,AR
2018-08-26,11,False,AR
2018-09-02,11,False,AR
2018-09-09,11,False,AR
2018-09-16,10,False,AR
2018-09-23,0,False,AR
2018-09-30,11,False,AR
2018-10-07,0,False,AR
2018-10-14,22,False,AR
2018-10-21,11,False,AR
2018-10-28,11,False,AR
2018-11-04,0,False,AR
2018-11-11,32,False,AR
2018-11-18,0,False,AR
2018-11-25,0,False,AR
2018-12-02,10,False,AR
2018-12-09,0,False,AR
2018-12-16,0,False,AR
2018-12-23,0,False,AR
2018-12-30,0,False,AR
2015-01-04,40,False,CA
2015-01-11,32,False,CA
2015-01-18,23,False,CA
2015-01-25,19,False,CA
2015-02-01,39,False,CA
2015-02-08,23,False,CA
2015-02-15,40,False,CA
2015-02-22,15,False,CA
2015-03-01,22,False,CA
2015-03-08,32,False,CA
2015-03-15,42,False,CA
2015-03-22,26,False,CA
2015-03-29,28,False,CA
2015-04-05,100,False,CA
2015-04-12,52,False,CA
2015-04-19,30,False,CA
2015-04-26,46,False,CA
2015-05-03,30,False,CA
2015-05-10,46,False,CA
2015-05-17,33,False,CA
2015-05-24,50,False,CA
2015-05-31,57,False,CA
2015-06-07,24,False,CA
2015-06-14,10,False,CA
2015-06-21,49,False,CA
2015-06-28,27,False,CA
2015-07-05,49,False,CA
2015-07-12,42,False,CA
2015-07-19,40,False,CA
2015-07-26,46,False,CA
2015-08-02,30,False,CA
2015-08-09,47,False,CA
2015-08-16,40,False,CA
2015-08-23,33,False,CA
2015-08-30,46,False,CA
2015-09-06,30,False,CA
2015-09-13,22,False,CA
2015-09-20,31,False,CA
2015-09-27,35,False,CA
2015-10-04,38,False,CA
2015-10-11,41,False,CA
2015-10-18,31,False,CA
2015-10-25,41,False,CA
2015-11-01,29,False,CA
2015-11-08,36,False,CA
2015-11-15,13,False,CA
2015-11-22,18,False,CA
2015-11-29,35,False,CA
2015-12-06,32,False,CA
2015-12-13,34,False,CA
2015-12-20,32,False,CA
2015-12-27,31,False,CA
2016-01-03,37,False,CA
2016-01-10,66,False,CA
2016-01-17,49,False,CA
2016-01-24,32,False,CA
2016-01-31,29,False,CA
2016-02-07,44,False,CA
2016-02-14,20,False,CA
2016-02-21,44,False,CA
2016-02-28,43,False,CA
2016-03-06,33,False,CA
2016-03-13,26,False,CA
2016-03-20,32,False,CA
2016-03-27,35,False,CA
2016-04-03,51,False,CA
2016-04-10,44,False,CA
2016-04-17,22,False,CA
2016-04-24,29,False,CA
2016-05-01,29,False,CA
2016-05-08,44,False,CA
2016-05-15,40,False,CA
