date,porn,isPartial,State
2016-02-14,71,False,AZ
2016-02-21,68,False,AZ
2016-02-28,69,False,AZ
2016-03-06,68,False,AZ
2016-03-13,74,False,AZ
2016-03-20,70,False,AZ
2016-03-27,72,False,AZ
2016-04-03,72,False,AZ
2016-04-10,70,False,AZ
2016-04-17,69,False,AZ
2016-04-24,72,False,AZ
2016-05-01,70,False,AZ
2016-05-08,67,False,AZ
2016-05-15,72,False,AZ
2016-05-22,73,False,AZ
2016-05-29,78,False,AZ
2016-06-05,78,False,AZ
2016-06-12,69,False,AZ
2016-06-19,76,False,AZ
2016-06-26,74,False,AZ
2016-07-03,79,False,AZ
2016-07-10,72,False,AZ
2016-07-17,77,False,AZ
2016-07-24,70,False,AZ
2016-07-31,76,False,AZ
2016-08-07,65,False,AZ
2016-08-14,71,False,AZ
2016-08-21,71,False,AZ
2016-08-28,69,False,AZ
2016-09-04,68,False,AZ
2016-09-11,68,False,AZ
2016-09-18,65,False,AZ
2016-09-25,71,False,AZ
2016-10-02,67,False,AZ
2016-10-09,69,False,AZ
2016-10-16,64,False,AZ
2016-10-23,66,False,AZ
2016-10-30,65,False,AZ
2016-11-06,60,False,AZ
2016-11-13,67,False,AZ
2016-11-20,65,False,AZ
2016-11-27,64,False,AZ
2016-12-04,62,False,AZ
2016-12-11,67,False,AZ
2016-12-18,65,False,AZ
2016-12-25,66,False,AZ
2017-01-01,66,False,AZ
2017-01-08,62,False,AZ
2017-01-15,62,False,AZ
2017-01-22,59,False,AZ
2017-01-29,60,False,AZ
2017-02-05,66,False,AZ
2017-02-12,62,False,AZ
2017-02-19,61,False,AZ
2017-02-26,60,False,AZ
2017-03-05,66,False,AZ
2017-03-12,63,False,AZ
2017-03-19,60,False,AZ
2017-03-26,63,False,AZ
2017-04-02,60,False,AZ
2017-04-09,63,False,AZ
2017-04-16,68,False,AZ
2017-04-23,62,False,AZ
2017-04-30,65,False,AZ
2017-05-07,60,False,AZ
2017-05-14,68,False,AZ
2017-05-21,65,False,AZ
2017-05-28,73,False,AZ
2017-06-04,65,False,AZ
2017-06-11,68,False,AZ
2017-06-18,65,False,AZ
2017-06-25,69,False,AZ
2017-07-02,70,False,AZ
2017-07-09,66,False,AZ
2017-07-16,69,False,AZ
2017-07-23,71,False,AZ
2017-07-30,66,False,AZ
2017-08-06,66,False,AZ
2017-08-13,63,False,AZ
2017-08-20,67,False,AZ
2017-08-27,64,False,AZ
2017-09-03,66,False,AZ
2017-09-10,64,False,AZ
2017-09-17,62,False,AZ
2017-09-24,60,False,AZ
2017-10-01,61,False,AZ
2017-10-08,66,False,AZ
2017-10-15,63,False,AZ
2017-10-22,61,False,AZ
2017-10-29,61,False,AZ
2017-11-05,60,False,AZ
2017-11-12,58,False,AZ
2017-11-19,54,False,AZ
2017-11-26,55,False,AZ
2017-12-03,54,False,AZ
2017-12-10,53,False,AZ
2017-12-17,57,False,AZ
2017-12-24,59,False,AZ
2017-12-31,55,False,AZ
2018-01-07,55,False,AZ
2018-01-14,55,False,AZ
2018-01-21,52,False,AZ
2018-01-28,51,False,AZ
2018-02-04,46,False,AZ
2018-02-11,49,False,AZ
2018-02-18,49,False,AZ
2018-02-25,48,False,AZ
2018-03-04,49,False,AZ
2018-03-11,50,False,AZ
2018-03-18,51,False,AZ
2018-03-25,51,False,AZ
2018-04-01,47,False,AZ
2018-04-08,49,False,AZ
2018-04-15,50,False,AZ
2018-04-22,54,False,AZ
2018-04-29,51,False,AZ
2018-05-06,51,False,AZ
2018-05-13,49,False,AZ
2018-05-20,54,False,AZ
2018-05-27,54,False,AZ
2018-06-03,51,False,AZ
2018-06-10,51,False,AZ
2018-06-17,50,False,AZ
2018-06-24,53,False,AZ
2018-07-01,56,False,AZ
2018-07-08,53,False,AZ
2018-07-15,53,False,AZ
2018-07-22,52,False,AZ
2018-07-29,51,False,AZ
2018-08-05,51,False,AZ
2018-08-12,50,False,AZ
2018-08-19,50,False,AZ
2018-08-26,49,False,AZ
2018-09-02,49,False,AZ
2018-09-09,51,False,AZ
2018-09-16,48,False,AZ
