date,coursera,isPartial,State
2016-10-30,23,False,AZ
2016-11-06,22,False,AZ
2016-11-13,34,False,AZ
2016-11-20,46,False,AZ
2016-11-27,11,False,AZ
2016-12-04,21,False,AZ
2016-12-11,33,False,AZ
2016-12-18,0,False,AZ
2016-12-25,0,False,AZ
2017-01-01,67,False,AZ
2017-01-08,21,False,AZ
2017-01-15,42,False,AZ
2017-01-22,31,False,AZ
2017-01-29,10,False,AZ
2017-02-05,0,False,AZ
2017-02-12,10,False,AZ
2017-02-19,20,False,AZ
2017-02-26,19,False,AZ
2017-03-05,0,False,AZ
2017-03-12,10,False,AZ
2017-03-19,10,False,AZ
2017-03-26,20,False,AZ
2017-04-02,20,False,AZ
2017-04-09,21,False,AZ
2017-04-16,0,False,AZ
2017-04-23,0,False,AZ
2017-04-30,20,False,AZ
2017-05-07,42,False,AZ
2017-05-14,11,False,AZ
2017-05-21,56,False,AZ
2017-05-28,23,False,AZ
2017-06-04,34,False,AZ
2017-06-11,11,False,AZ
2017-06-18,11,False,AZ
2017-06-25,12,False,AZ
2017-07-02,24,False,AZ
2017-07-09,0,False,AZ
2017-07-16,23,False,AZ
2017-07-23,0,False,AZ
2017-07-30,22,False,AZ
2017-08-06,10,False,AZ
2017-08-13,10,False,AZ
2017-08-20,30,False,AZ
2017-08-27,30,False,AZ
2017-09-03,0,False,AZ
2017-09-10,20,False,AZ
2017-09-17,20,False,AZ
2017-09-24,20,False,AZ
2017-10-01,20,False,AZ
2017-10-08,21,False,AZ
2017-10-15,31,False,AZ
2017-10-22,30,False,AZ
2017-10-29,10,False,AZ
2017-11-05,10,False,AZ
2017-11-12,10,False,AZ
2017-11-19,21,False,AZ
2017-11-26,10,False,AZ
2017-12-03,20,False,AZ
2017-12-10,10,False,AZ
2017-12-17,32,False,AZ
2017-12-24,11,False,AZ
2017-12-31,21,False,AZ
2018-01-07,20,False,AZ
2018-01-14,29,False,AZ
2018-01-21,48,False,AZ
2018-01-28,10,False,AZ
2018-02-04,19,False,AZ
2018-02-11,9,False,AZ
2018-02-18,19,False,AZ
2018-02-25,0,False,AZ
2018-03-04,57,False,AZ
2018-03-11,19,False,AZ
2018-03-18,10,False,AZ
2018-03-25,39,False,AZ
2018-04-01,19,False,AZ
2018-04-08,10,False,AZ
2018-04-15,39,False,AZ
2018-04-22,29,False,AZ
2018-04-29,20,False,AZ
2018-05-06,10,False,AZ
2018-05-13,40,False,AZ
2018-05-20,21,False,AZ
2018-05-27,0,False,AZ
