date,harry potter,isPartial,State
2015-05-31,32,False,AR
2015-06-07,30,False,AR
2015-06-14,20,False,AR
2015-06-21,21,False,AR
2015-06-28,15,False,AR
2015-07-05,32,False,AR
2015-07-12,38,False,AR
2015-07-19,43,False,AR
2015-07-26,51,False,AR
2015-08-02,21,False,AR
2015-08-09,18,False,AR
2015-08-16,34,False,AR
2015-08-23,23,False,AR
2015-08-30,20,False,AR
2015-09-06,37,False,AR
2015-09-13,30,False,AR
2015-09-20,37,False,AR
2015-09-27,25,False,AR
2015-10-04,25,False,AR
2015-10-11,36,False,AR
2015-10-18,42,False,AR
2015-10-25,35,False,AR
2015-11-01,15,False,AR
2015-11-08,23,False,AR
2015-11-15,29,False,AR
2015-11-22,24,False,AR
2015-11-29,29,False,AR
2015-12-06,26,False,AR
2015-12-13,23,False,AR
2015-12-20,37,False,AR
2015-12-27,49,False,AR
2016-01-03,29,False,AR
2016-01-10,41,False,AR
2016-01-17,28,False,AR
2016-01-24,19,False,AR
2016-01-31,19,False,AR
2016-02-07,47,False,AR
2016-02-14,30,False,AR
2016-02-21,30,False,AR
2016-02-28,27,False,AR
2016-03-06,38,False,AR
2016-03-13,25,False,AR
2016-03-20,27,False,AR
2016-03-27,29,False,AR
2016-04-03,31,False,AR
2016-04-10,24,False,AR
2016-04-17,27,False,AR
2016-04-24,14,False,AR
2016-05-01,19,False,AR
2016-05-08,22,False,AR
2016-05-15,18,False,AR
2016-05-22,31,False,AR
2016-05-29,48,False,AR
2016-06-05,32,False,AR
2016-06-12,24,False,AR
2016-06-19,21,False,AR
2016-06-26,30,False,AR
2016-07-03,20,False,AR
2016-07-10,28,False,AR
2016-07-17,26,False,AR
2016-07-24,45,False,AR
2016-07-31,100,False,AR
2016-08-07,38,False,AR
2016-08-14,30,False,AR
2016-08-21,23,False,AR
2016-08-28,34,False,AR
2016-09-04,45,False,AR
2016-09-11,28,False,AR
2016-09-18,40,False,AR
2016-09-25,31,False,AR
2016-10-02,27,False,AR
2016-10-09,35,False,AR
2016-10-16,40,False,AR
2016-10-23,23,False,AR
2016-10-30,32,False,AR
2016-11-06,24,False,AR
2016-11-13,44,False,AR
2016-11-20,47,False,AR
2016-11-27,37,False,AR
2016-12-04,39,False,AR
2016-12-11,40,False,AR
2016-12-18,40,False,AR
2016-12-25,60,False,AR
2017-01-01,50,False,AR
2017-01-08,23,False,AR
2017-01-15,31,False,AR
2017-01-22,48,False,AR
2017-01-29,29,False,AR
2017-02-05,39,False,AR
2017-02-12,35,False,AR
2017-02-19,26,False,AR
2017-02-26,22,False,AR
2017-03-05,44,False,AR
2017-03-12,25,False,AR
2017-03-19,32,False,AR
2017-03-26,35,False,AR
2017-04-02,19,False,AR
2017-04-09,35,False,AR
2017-04-16,16,False,AR
2017-04-23,27,False,AR
2017-04-30,31,False,AR
2017-05-07,26,False,AR
2017-05-14,31,False,AR
2017-05-21,22,False,AR
2017-05-28,26,False,AR
2017-06-04,15,False,AR
2017-06-11,19,False,AR
2017-06-18,37,False,AR
2017-06-25,54,False,AR
2017-07-02,20,False,AR
2017-07-09,41,False,AR
2017-07-16,29,False,AR
2017-07-23,40,False,AR
2017-07-30,32,False,AR
2017-08-06,36,False,AR
2017-08-13,37,False,AR
2017-08-20,16,False,AR
2017-08-27,28,False,AR
2017-09-03,41,False,AR
