date,pornhub,isPartial,State
2015-04-01,55,False,CT
2015-05-01,63,False,CT
2015-06-01,63,False,CT
2015-07-01,74,False,CT
2015-08-01,81,False,CT
2015-09-01,63,False,CT
2015-10-01,67,False,CT
2015-11-01,68,False,CT
2015-12-01,66,False,CT
2016-01-01,66,False,CT
2016-02-01,68,False,CT
2016-03-01,69,False,CT
2016-04-01,73,False,CT
2016-05-01,76,False,CT
2016-06-01,76,False,CT
2016-07-01,74,False,CT
2016-08-01,75,False,CT
2016-09-01,68,False,CT
2016-10-01,70,False,CT
2016-11-01,73,False,CT
2016-12-01,71,False,CT
2017-01-01,68,False,CT
2017-02-01,70,False,CT
2017-03-01,70,False,CT
2017-04-01,73,False,CT
2017-05-01,76,False,CT
2017-06-01,80,False,CT
2017-07-01,90,False,CT
2017-08-01,83,False,CT
2017-09-01,74,False,CT
2017-10-01,74,False,CT
2017-11-01,83,False,CT
2017-12-01,92,False,CT
2018-01-01,87,False,CT
2018-02-01,85,False,CT
2018-03-01,85,False,CT
2018-04-01,82,False,CT
2018-05-01,83,False,CT
2018-06-01,89,False,CT
2018-07-01,94,False,CT
2018-08-01,98,False,CT
2018-09-01,87,False,CT
2018-10-01,85,False,CT
2018-11-01,90,False,CT
2018-12-01,95,False,CT
2019-01-01,90,False,CT
2011-01-01,53,False,DC
2011-02-01,49,False,DC
2011-03-01,51,False,DC
2011-04-01,53,False,DC
2011-05-01,58,False,DC
2011-06-01,65,False,DC
2011-07-01,58,False,DC
2011-08-01,68,False,DC
2011-09-01,70,False,DC
2011-10-01,69,False,DC
2011-11-01,83,False,DC
2011-12-01,85,False,DC
2012-01-01,80,False,DC
2012-02-01,77,False,DC
2012-03-01,78,False,DC
2012-04-01,84,False,DC
2012-05-01,91,False,DC
2012-06-01,89,False,DC
2012-07-01,87,False,DC
2012-08-01,97,False,DC
2012-09-01,84,False,DC
2012-10-01,100,False,DC
2012-11-01,80,False,DC
2012-12-01,61,False,DC
2013-01-01,63,False,DC
2013-02-01,70,False,DC
2013-03-01,78,False,DC
2013-04-01,85,False,DC
2013-05-01,82,False,DC
2013-06-01,68,False,DC
2013-07-01,43,False,DC
2013-08-01,37,False,DC
2013-09-01,53,False,DC
2013-10-01,47,False,DC
2013-11-01,40,False,DC
2013-12-01,49,False,DC
2014-01-01,55,False,DC
2014-02-01,63,False,DC
2014-03-01,65,False,DC
2014-04-01,68,False,DC
2014-05-01,53,False,DC
2014-06-01,43,False,DC
2014-07-01,60,False,DC
2014-08-01,61,False,DC
2014-09-01,67,False,DC
2014-10-01,63,False,DC
2014-11-01,66,False,DC
2014-12-01,67,False,DC
2015-01-01,66,False,DC
2015-02-01,68,False,DC
2015-03-01,69,False,DC
2015-04-01,68,False,DC
2015-05-01,68,False,DC
2015-06-01,68,False,DC
2015-07-01,81,False,DC
2015-08-01,79,False,DC
2015-09-01,82,False,DC
2015-10-01,78,False,DC
2015-11-01,81,False,DC
2015-12-01,81,False,DC
2016-01-01,67,False,DC
2016-02-01,68,False,DC
2016-03-01,63,False,DC
2016-04-01,59,False,DC
2016-05-01,63,False,DC
2016-06-01,61,False,DC
2016-07-01,65,False,DC
2016-08-01,74,False,DC
2016-09-01,70,False,DC
2016-10-01,69,False,DC
2016-11-01,71,False,DC
2016-12-01,69,False,DC
2017-01-01,68,False,DC
2017-02-01,72,False,DC
2017-03-01,70,False,DC
2017-04-01,71,False,DC
2017-05-01,79,False,DC
2017-06-01,77,False,DC
2017-07-01,75,False,DC
2017-08-01,76,False,DC
2017-09-01,84,False,DC
2017-10-01,83,False,DC
2017-11-01,78,False,DC
2017-12-01,59,False,DC
2018-01-01,52,False,DC
2018-02-01,53,False,DC
2018-03-01,55,False,DC
2018-04-01,54,False,DC
2018-05-01,52,False,DC
2018-06-01,56,False,DC
2018-07-01,55,False,DC
2018-08-01,53,False,DC
2018-09-01,49,False,DC
2018-10-01,50,False,DC
2018-11-01,48,False,DC
2018-12-01,51,False,DC
2019-01-01,56,False,DC
2011-01-01,55,False,DE
2011-02-01,63,False,DE
2011-03-01,50,False,DE
2011-04-01,63,False,DE
2011-05-01,58,False,DE
2011-06-01,53,False,DE
2011-07-01,61,False,DE
2011-08-01,63,False,DE
2011-09-01,56,False,DE
2011-10-01,56,False,DE
2011-11-01,53,False,DE
2011-12-01,65,False,DE
2012-01-01,56,False,DE
2012-02-01,65,False,DE
2012-03-01,68,False,DE
2012-04-01,65,False,DE
2012-05-01,68,False,DE
2012-06-01,71,False,DE
2012-07-01,57,False,DE
2012-08-01,65,False,DE
2012-09-01,60,False,DE
2012-10-01,65,False,DE
2012-11-01,74,False,DE
2012-12-01,69,False,DE
2013-01-01,59,False,DE
2013-02-01,77,False,DE
2013-03-01,69,False,DE
2013-04-01,51,False,DE
2013-05-01,72,False,DE
2013-06-01,73,False,DE
2013-07-01,74,False,DE
2013-08-01,72,False,DE
2013-09-01,72,False,DE
2013-10-01,61,False,DE
2013-11-01,65,False,DE
2013-12-01,73,False,DE
2014-01-01,71,False,DE
2014-02-01,59,False,DE
2014-03-01,54,False,DE
2014-04-01,66,False,DE
2014-05-01,78,False,DE
2014-06-01,75,False,DE
2014-07-01,62,False,DE
2014-08-01,66,False,DE
2014-09-01,66,False,DE
2014-10-01,60,False,DE
2014-11-01,61,False,DE
2014-12-01,60,False,DE
2015-01-01,60,False,DE
2015-02-01,61,False,DE
2015-03-01,60,False,DE
2015-04-01,60,False,DE
2015-05-01,52,False,DE
2015-06-01,77,False,DE
2015-07-01,81,False,DE
2015-08-01,86,False,DE
2015-09-01,72,False,DE
2015-10-01,60,False,DE
2015-11-01,80,False,DE
2015-12-01,62,False,DE
2016-01-01,75,False,DE
2016-02-01,69,False,DE
2016-03-01,65,False,DE
2016-04-01,83,False,DE
2016-05-01,84,False,DE
2016-06-01,73,False,DE
2016-07-01,79,False,DE
2016-08-01,76,False,DE
2016-09-01,77,False,DE
2016-10-01,77,False,DE
2016-11-01,76,False,DE
2016-12-01,64,False,DE
2017-01-01,74,False,DE
2017-02-01,66,False,DE
2017-03-01,69,False,DE
2017-04-01,82,False,DE
2017-05-01,85,False,DE
2017-06-01,88,False,DE
2017-07-01,88,False,DE
2017-08-01,70,False,DE
2017-09-01,78,False,DE
2017-10-01,67,False,DE
2017-11-01,87,False,DE
2017-12-01,91,False,DE
2018-01-01,87,False,DE
2018-02-01,100,False,DE
2018-03-01,97,False,DE
2018-04-01,92,False,DE
2018-05-01,95,False,DE
2018-06-01,100,False,DE
2018-07-01,91,False,DE
2018-08-01,91,False,DE
2018-09-01,96,False,DE
2018-10-01,87,False,DE
2018-11-01,87,False,DE
2018-12-01,90,False,DE
2019-01-01,89,False,DE
2011-01-01,63,False,FL
2011-02-01,61,False,FL
2011-03-01,63,False,FL
2011-04-01,63,False,FL
2011-05-01,62,False,FL
2011-06-01,67,False,FL
2011-07-01,66,False,FL
2011-08-01,63,False,FL
2011-09-01,63,False,FL
2011-10-01,68,False,FL
2011-11-01,65,False,FL
2011-12-01,73,False,FL
2012-01-01,74,False,FL
2012-02-01,73,False,FL
2012-03-01,75,False,FL
2012-04-01,78,False,FL
2012-05-01,76,False,FL
2012-06-01,78,False,FL
2012-07-01,84,False,FL
2012-08-01,82,False,FL
2012-09-01,79,False,FL
2012-10-01,77,False,FL
2012-11-01,86,False,FL
2012-12-01,89,False,FL
2013-01-01,76,False,FL
2013-02-01,76,False,FL
2013-03-01,78,False,FL
2013-04-01,88,False,FL
2013-05-01,89,False,FL
2013-06-01,97,False,FL
2013-07-01,85,False,FL
2013-08-01,82,False,FL
2013-09-01,80,False,FL
2013-10-01,79,False,FL
2013-11-01,78,False,FL
2013-12-01,78,False,FL
2014-01-01,73,False,FL
2014-02-01,71,False,FL
2014-03-01,71,False,FL
2014-04-01,74,False,FL
2014-05-01,80,False,FL
2014-06-01,76,False,FL
2014-07-01,77,False,FL
2014-08-01,76,False,FL
2014-09-01,72,False,FL
2014-10-01,69,False,FL
2014-11-01,69,False,FL
2014-12-01,71,False,FL
2015-01-01,71,False,FL
2015-02-01,70,False,FL
2015-03-01,72,False,FL
2015-04-01,71,False,FL
2015-05-01,75,False,FL
2015-06-01,78,False,FL
2015-07-01,77,False,FL
2015-08-01,79,False,FL
2015-09-01,72,False,FL
2015-10-01,72,False,FL
2015-11-01,72,False,FL
2015-12-01,75,False,FL
2016-01-01,70,False,FL
2016-02-01,68,False,FL
2016-03-01,77,False,FL
2016-04-01,76,False,FL
2016-05-01,74,False,FL
2016-06-01,81,False,FL
2016-07-01,81,False,FL
2016-08-01,82,False,FL
2016-09-01,80,False,FL
2016-10-01,77,False,FL
2016-11-01,75,False,FL
2016-12-01,76,False,FL
2017-01-01,74,False,FL
2017-02-01,70,False,FL
2017-03-01,75,False,FL
2017-04-01,80,False,FL
2017-05-01,78,False,FL
2017-06-01,85,False,FL
2017-07-01,90,False,FL
2017-08-01,82,False,FL
2017-09-01,81,False,FL
2017-10-01,84,False,FL
2017-11-01,94,False,FL
2017-12-01,96,False,FL
2018-01-01,97,False,FL
2018-02-01,94,False,FL
2018-03-01,94,False,FL
2018-04-01,92,False,FL
2018-05-01,96,False,FL
2018-06-01,95,False,FL
2018-07-01,97,False,FL
2018-08-01,94,False,FL
2018-09-01,91,False,FL
2018-10-01,95,False,FL
2018-11-01,92,False,FL
2018-12-01,96,False,FL
2019-01-01,100,False,FL
2011-01-01,56,False,GA
2011-02-01,54,False,GA
2011-03-01,58,False,GA
2011-04-01,59,False,GA
2011-05-01,64,False,GA
2011-06-01,61,False,GA
2011-07-01,65,False,GA
2011-08-01,61,False,GA
2011-09-01,62,False,GA
2011-10-01,64,False,GA
2011-11-01,68,False,GA
2011-12-01,75,False,GA
2012-01-01,72,False,GA
2012-02-01,74,False,GA
2012-03-01,71,False,GA
2012-04-01,79,False,GA
2012-05-01,79,False,GA
2012-06-01,79,False,GA
