date,brownie recipe,isPartial,State
2015-05-24,0,False,AR
2015-05-31,0,False,AR
2015-06-07,41,False,AR
2015-06-14,39,False,AR
2015-06-21,41,False,AR
2015-06-28,0,False,AR
2015-07-05,40,False,AR
2015-07-12,0,False,AR
2015-07-19,0,False,AR
2015-07-26,0,False,AR
2015-08-02,0,False,AR
2015-08-09,41,False,AR
2015-08-16,0,False,AR
2015-08-23,36,False,AR
2015-08-30,35,False,AR
2015-09-06,36,False,AR
2015-09-13,35,False,AR
2015-09-20,69,False,AR
2015-09-27,0,False,AR
2015-10-04,0,False,AR
2015-10-11,0,False,AR
2015-10-18,53,False,AR
2015-10-25,0,False,AR
2015-11-01,26,False,AR
2015-11-08,26,False,AR
2015-11-15,52,False,AR
2015-11-22,0,False,AR
2015-11-29,100,False,AR
2015-12-06,25,False,AR
2015-12-13,0,False,AR
2015-12-20,0,False,AR
2015-12-27,0,False,AR
2016-01-03,23,False,AR
2016-01-10,48,False,AR
2016-01-17,0,False,AR
2016-01-24,0,False,AR
2016-01-31,44,False,AR
2016-02-07,21,False,AR
2016-02-14,65,False,AR
2016-02-21,42,False,AR
2016-02-28,0,False,AR
2016-03-06,40,False,AR
2016-03-13,21,False,AR
2016-03-20,25,False,AR
2016-03-27,67,False,AR
2016-04-03,0,False,AR
2016-04-10,0,False,AR
2016-04-17,0,False,AR
2016-04-24,0,False,AR
2016-05-01,0,False,AR
2016-05-08,22,False,AR
2016-05-15,0,False,AR
2016-05-22,0,False,AR
2016-05-29,24,False,AR
2016-06-05,24,False,AR
2016-06-12,0,False,AR
2016-06-19,49,False,AR
2016-06-26,0,False,AR
2016-07-03,0,False,AR
2016-07-10,24,False,AR
2016-07-17,71,False,AR
2016-07-24,0,False,AR
2016-07-31,25,False,AR
2016-08-07,50,False,AR
2016-08-14,25,False,AR
2016-08-21,0,False,AR
2016-08-28,0,False,AR
2016-09-04,0,False,AR
2016-09-11,0,False,AR
2016-09-18,0,False,AR
2016-09-25,0,False,AR
2016-10-02,21,False,AR
